Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Allene,1910,60,6,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,10,7,0,0,0,0,0,0,0
Allene,1911,52,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Allene,1912,122,8,0,0,8,0,0,0,0,0,0,18,0,0,6,0,0,0,7,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,13,0,0,0,0,6,0,9,0,5,26,0,0,0,0,0,0,0
Allene,1913,91,5,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,9,5,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0
Allene,1914,122,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,0,0,13,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,10,0,0,6,0,5,0,5,0,10,21,0,0,5,0,0,0,0
Allene,1915,163,0,0,0,8,0,0,0,0,0,0,17,0,0,9,0,0,0,16,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,9,0,8,11,0,10,0,5,0,10,30,0,0,6,0,0,0,0
Allene,1916,181,7,0,0,9,0,0,0,0,0,6,24,0,0,10,0,5,6,12,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,14,0,0,5,0,5,0,8,0,9,38,0,0,5,0,0,0,0
Allene,1917,191,6,0,0,13,0,0,0,0,0,5,16,0,0,5,0,0,8,13,0,0,0,0,0,0,17,15,0,0,0,0,0,0,6,11,0,0,10,0,6,0,5,0,21,34,0,0,0,0,0,0,0
Allene,1918,193,0,0,0,8,0,0,0,0,0,0,26,0,0,8,6,5,5,9,0,0,0,0,5,0,8,16,0,0,0,0,0,0,11,16,0,5,16,0,0,0,6,0,10,33,0,0,0,0,0,0,0
Allene,1919,183,6,0,0,10,0,0,0,0,0,0,14,0,0,9,0,8,0,20,0,0,0,0,0,0,11,13,0,0,0,0,0,0,6,18,0,0,14,0,7,0,5,0,11,26,0,0,5,0,0,0,0
Allene,1920,231,9,0,0,12,0,0,0,0,0,0,33,0,0,0,0,5,0,25,5,0,0,0,5,0,12,13,0,0,0,0,0,0,6,17,0,0,14,0,7,0,11,0,16,33,0,0,8,0,0,0,0
Allene,1921,201,7,0,0,15,9,0,0,0,0,5,18,0,0,0,0,0,0,25,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,27,0,5,10,0,0,0,5,0,16,21,0,0,7,0,0,0,0
Allene,1922,206,8,0,0,8,0,0,0,0,0,0,23,0,0,6,0,6,0,23,0,0,0,0,6,5,11,12,0,0,0,0,0,0,6,19,0,0,8,0,5,0,6,0,19,29,0,0,6,0,0,0,0
Allene,1923,204,10,0,0,6,7,0,0,0,0,6,27,0,0,0,0,0,6,13,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,21,0,9,19,0,0,0,6,0,14,24,0,0,11,0,0,0,0
Allene,1924,166,6,0,0,12,5,0,0,0,0,5,17,0,0,0,0,0,5,22,0,0,0,0,0,0,7,18,0,0,0,0,0,0,6,15,0,0,8,0,0,0,9,0,11,20,0,0,0,0,0,0,0
Allene,1925,241,5,0,0,13,8,5,0,0,0,8,29,0,0,5,0,6,0,21,0,0,0,0,0,0,6,15,0,0,0,0,0,0,6,16,0,10,10,0,8,0,8,0,12,34,0,0,9,7,0,0,0
Allene,1926,273,9,0,0,10,8,0,0,0,0,10,21,0,0,7,0,0,6,27,0,0,0,0,13,0,8,10,0,0,0,0,0,0,12,14,0,14,21,0,19,0,9,0,9,29,0,0,9,0,8,0,0
Allene,1927,226,13,0,0,10,6,0,0,0,0,0,23,0,0,10,5,0,5,30,0,0,0,0,8,0,9,7,0,0,0,0,0,0,9,14,0,0,19,0,15,0,0,0,12,31,0,0,0,0,0,0,0
Allene,1928,197,5,0,0,7,0,0,0,0,0,12,15,0,0,0,0,0,0,22,0,0,0,0,7,0,7,10,0,0,0,0,0,0,6,13,0,8,18,0,12,0,5,0,11,19,0,0,9,6,0,5,0
Allene,1929,148,0,0,0,10,0,0,0,0,0,0,19,0,0,6,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,0,10,9,0,5,0,9,0,16,19,0,0,6,0,0,0,0
Allene,1930,144,8,0,0,11,5,0,0,0,0,5,22,0,0,0,0,0,0,17,0,0,0,0,0,0,10,8,0,0,0,0,0,0,5,10,0,0,5,0,5,0,7,0,8,18,0,0,0,0,0,0,0
Allene,1931,141,14,0,0,7,5,0,0,0,0,0,11,0,0,8,0,0,7,12,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,10,0,0,6,0,7,0,0,0,12,12,0,0,10,0,0,0,0
Allene,1932,136,9,0,0,8,5,0,0,0,0,0,17,0,0,8,0,0,0,17,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,16,0,0,11,0,0,0,5,0,5,15,0,0,5,0,0,0,0
Allene,1933,139,10,0,0,9,11,0,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,9,0,5,10,0,8,0,10,0,5,14,0,0,5,5,0,0,0
Allene,1934,132,7,0,0,7,11,0,0,0,0,6,17,0,0,0,0,0,0,13,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,14,0,0,6,0,7,0,0,0,6,19,0,0,8,0,0,0,0
Allene,1935,122,11,0,0,7,9,0,0,0,0,0,10,0,0,6,0,0,0,11,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,7,0,7,10,0,5,0,0,0,7,17,0,0,0,0,0,0,0
Allene,1936,81,0,0,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,5,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,6,11,0,0,5,0,0,0,0
Allene,1937,93,5,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,6,0,0,0,0,0,0,7,8,0,0,0,0,0,0,5,13,0,0,6,0,5,0,0,0,8,7,0,0,0,0,0,0,0
Allene,1938,55,0,0,0,0,6,0,0,0,0,0,13,0,0,6,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Allene,1939,55,0,0,0,6,8,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Allene,1940,47,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Allene,1941,54,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Allene,1942,41,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Allene,1943,60,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,6,9,0,0,0,0,0,0,0
Allene,1944,50,6,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Allene,1945,62,0,0,0,6,6,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,6,0,0,9,0,0,0,0
Allene,1946,53,0,0,0,0,6,0,0,0,0,0,9,0,0,9,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0
Allene,1947,47,0,0,0,0,10,0,0,0,0,0,15,0,0,5,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Allene,1948,42,0,0,0,5,8,0,0,0,0,0,11,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Allene,1949,45,0,0,0,6,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0
Allene,1950,38,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0
Allene,1951,39,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Allene,1952,15,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1953,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1954,21,0,0,0,0,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1956,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1958,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1959,17,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1960,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Allene,1961,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1963,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1971,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allene,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
