Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Angie,1910,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Angie,1911,33,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Angie,1912,49,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0
Angie,1913,60,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0
Angie,1914,87,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,10,0,27,0,0,6,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0
Angie,1915,135,0,0,0,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,17,5,0,6,0,0,0,0,0,8,0,24,0,0,7,6,0,6,0,0,0,0,10,0,0,9,0,0,0,0
Angie,1916,151,5,0,0,0,19,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,16,0,0,6,5,0,0,0,0,9,0,27,0,0,0,5,0,5,0,5,0,0,20,0,0,6,0,0,6,0
Angie,1917,150,6,0,9,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,5,0,0,7,0,0,0,0,9,0,28,0,0,9,0,0,7,0,5,0,6,12,0,0,0,0,5,0,0
Angie,1918,200,0,0,5,0,33,0,7,0,0,0,8,0,0,0,0,0,0,8,13,0,0,15,10,0,7,0,0,0,0,0,8,6,30,5,0,6,0,0,9,0,7,0,10,13,0,0,0,0,0,0,0
Angie,1919,164,6,0,6,9,26,0,0,0,0,6,8,0,0,0,0,0,0,0,5,0,0,16,0,0,6,0,0,0,0,0,0,5,23,0,0,9,7,0,7,0,6,0,0,19,0,0,0,0,0,0,0
Angie,1920,123,6,0,0,0,28,0,0,0,0,0,7,0,0,0,0,5,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,9,0,0,5,0,5,0,6,5,0,0,7,0,0,0,0
Angie,1921,179,0,0,0,0,33,0,0,0,0,5,12,0,0,10,0,0,0,10,0,0,0,12,0,0,7,0,0,0,0,0,14,0,23,8,0,12,5,0,8,0,10,0,0,10,0,0,0,0,0,0,0
Angie,1922,155,5,0,0,9,31,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,6,0,0,5,0,0,0,5,0,10,0,19,0,0,11,6,0,5,0,11,0,0,13,0,0,0,0,0,0,0
Angie,1923,171,7,0,5,10,33,0,0,0,0,6,0,0,0,7,0,0,0,10,8,0,0,10,0,0,7,0,0,0,0,0,11,6,23,5,0,9,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0
Angie,1924,179,0,0,0,5,42,0,0,0,0,7,6,0,0,0,0,0,0,9,8,5,0,8,5,0,5,0,0,0,0,0,14,5,19,5,0,6,0,0,6,0,5,0,0,13,0,0,6,0,0,0,0
Angie,1925,179,5,0,0,0,26,5,5,0,0,10,0,0,0,7,0,0,0,6,8,0,0,14,0,0,5,9,0,0,0,0,13,7,22,0,0,12,0,0,5,0,5,0,0,10,0,0,5,0,0,0,0
