Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Arthur,1910,1931,55,0,7,32,48,11,14,0,9,31,97,9,6,133,45,25,26,45,49,20,25,95,44,42,43,50,9,25,0,11,42,0,215,57,26,70,33,10,144,15,47,16,41,57,7,6,48,23,18,50,0
Arthur,1911,2365,62,0,9,33,58,19,37,0,5,38,83,0,5,126,51,35,24,53,44,50,32,213,61,60,35,53,6,20,0,30,74,10,322,51,17,88,27,6,163,25,69,17,33,53,12,9,55,24,20,48,0
Arthur,1912,4678,108,0,0,65,87,44,106,5,14,55,119,9,25,323,117,106,60,85,87,47,42,294,137,143,59,105,24,75,5,32,162,12,647,104,51,210,66,23,321,40,78,28,65,154,16,18,76,57,39,133,0
Arthur,1913,5413,116,0,16,48,156,40,99,9,20,61,147,0,19,380,124,98,70,103,90,62,66,344,181,155,72,153,41,69,0,39,157,16,689,98,87,244,65,42,333,60,103,40,67,176,27,26,102,70,49,175,9
Arthur,1914,6638,125,7,17,83,148,61,125,7,17,73,187,0,27,439,158,140,91,113,92,72,84,432,217,196,78,196,56,83,5,50,193,17,890,151,67,279,84,41,454,76,119,49,82,193,34,25,117,85,63,221,19
Arthur,1915,8560,169,0,21,100,240,65,144,7,19,61,215,9,34,593,207,192,157,166,126,101,99,500,332,237,85,233,72,125,0,61,264,25,1086,164,105,437,120,65,522,81,149,77,108,256,43,37,141,122,70,304,14
Arthur,1916,8917,177,0,33,105,236,62,148,12,22,89,197,15,40,616,199,211,137,128,129,100,96,557,392,284,116,283,69,117,8,55,255,25,1139,174,122,386,111,61,579,91,157,67,116,247,42,39,165,121,81,287,19
Arthur,1917,9297,183,5,31,107,220,75,153,14,16,86,181,11,45,623,223,193,126,154,112,100,108,599,426,265,101,231,75,137,10,83,310,29,1245,184,125,481,128,59,618,84,156,86,125,271,40,41,156,101,63,292,10
Arthur,1918,10128,209,0,25,109,258,80,205,10,34,97,219,21,52,673,236,218,139,166,129,101,104,625,458,270,130,262,90,124,0,66,324,34,1428,205,137,472,150,51,651,99,155,73,112,306,44,39,166,126,100,325,21
Arthur,1919,9548,228,0,42,123,274,77,167,17,32,100,265,19,39,608,194,195,149,184,138,106,111,605,410,279,123,247,57,100,5,51,331,33,1201,197,103,407,143,55,610,104,184,80,124,275,30,37,172,96,109,298,14
Arthur,1920,10248,201,5,37,117,281,80,192,14,26,107,258,10,37,646,242,216,139,177,171,110,126,645,466,247,137,266,64,118,7,70,361,35,1277,181,120,463,137,70,653,108,185,86,143,337,33,39,213,141,114,328,12
Arthur,1921,10533,225,0,39,115,291,110,174,18,25,98,245,17,43,654,229,189,145,188,148,112,117,652,505,276,119,287,70,115,0,71,376,43,1363,243,114,501,154,43,678,114,188,86,150,353,39,40,207,115,106,325,18
Arthur,1922,10122,204,0,40,115,315,87,163,20,37,96,228,20,27,682,192,181,106,198,147,101,122,678,450,243,108,279,65,103,0,66,387,44,1395,233,96,415,117,47,651,107,163,70,136,371,42,39,198,104,101,314,19
Arthur,1923,9931,197,7,32,113,339,95,179,14,34,108,222,16,43,651,232,158,145,156,151,104,104,661,478,231,126,224,52,100,8,70,371,36,1334,236,98,477,138,62,654,88,138,46,155,288,38,38,159,87,109,315,14
Arthur,1924,10170,194,0,34,126,386,82,196,6,30,116,215,25,32,696,201,169,139,183,144,105,103,658,502,224,107,277,47,98,10,71,362,38,1358,224,76,487,149,46,644,122,170,60,131,321,39,38,186,114,112,301,16
Arthur,1925,10018,198,0,34,110,413,83,166,15,32,125,197,20,28,694,203,145,97,164,164,104,91,623,480,231,138,284,55,95,5,80,382,35,1387,250,55,442,151,59,677,106,163,54,122,281,30,38,197,108,117,266,24
Arthur,1926,9493,177,0,44,118,403,92,158,10,31,126,206,21,29,594,191,146,105,147,145,107,110,603,511,206,94,206,30,69,0,55,383,36,1362,207,59,431,122,56,644,104,152,63,135,298,34,32,168,105,102,250,16
Arthur,1927,9371,224,6,45,107,372,80,167,12,32,114,207,35,29,551,193,134,97,148,140,95,90,610,506,192,101,224,35,88,0,67,375,37,1379,190,76,412,137,43,593,100,140,54,142,287,26,32,167,95,123,248,14
Arthur,1928,8917,190,8,39,90,368,84,142,11,35,101,222,23,30,539,171,124,91,120,149,108,94,570,506,184,91,210,53,67,0,71,353,26,1345,194,52,362,103,51,576,81,142,47,132,300,29,39,148,81,98,250,17
Arthur,1929,8507,197,0,40,93,313,85,156,10,22,100,194,25,18,547,161,112,85,134,153,80,88,539,468,151,97,163,41,71,9,71,328,47,1269,135,54,387,93,50,561,73,119,49,112,334,21,33,152,93,100,256,18
Arthur,1930,8313,181,7,32,107,324,78,132,14,31,94,208,25,27,519,148,103,88,147,140,83,80,544,389,167,117,199,35,70,0,62,318,35,1251,176,73,362,107,37,550,72,140,33,109,304,29,38,128,79,111,202,8
Arthur,1931,7546,180,0,32,75,299,61,147,9,30,89,198,27,21,467,136,104,69,136,102,98,79,440,392,134,104,203,36,56,0,46,291,49,1141,163,50,331,81,38,487,94,104,36,102,271,26,44,124,60,81,187,16
Arthur,1932,6917,196,5,43,89,281,57,112,6,30,93,188,28,19,390,122,92,76,126,102,74,65,383,324,118,114,177,23,44,0,47,262,42,991,177,43,308,90,33,435,69,137,35,109,234,19,22,140,72,87,178,10
Arthur,1933,6536,196,10,29,80,294,61,114,11,29,88,164,26,13,387,122,83,67,107,115,69,61,390,262,109,86,166,38,48,0,58,292,41,976,145,35,268,69,33,417,55,135,33,83,226,17,30,123,65,65,132,13
Arthur,1934,6443,173,0,38,79,281,74,113,11,31,78,190,25,14,359,97,86,63,117,106,91,84,404,281,104,107,148,26,64,0,56,233,51,918,141,40,248,85,32,410,70,131,25,71,241,28,24,117,64,90,116,8
Arthur,1935,6546,185,0,32,83,269,83,122,14,32,101,178,28,17,374,97,70,57,109,140,70,70,396,265,96,115,144,26,59,0,58,281,43,894,147,25,265,88,35,430,54,136,28,88,263,25,39,121,67,84,127,16
Arthur,1936,6281,170,0,33,68,254,61,118,6,29,88,185,13,25,357,108,77,62,91,126,89,65,385,266,99,94,132,35,42,8,57,270,35,846,136,29,249,75,33,436,68,116,18,118,265,19,29,111,52,78,144,11
Arthur,1937,6326,191,5,35,71,288,61,114,12,45,90,189,11,22,348,105,63,60,122,110,70,65,354,287,99,112,126,23,37,0,32,243,36,878,146,20,241,65,35,415,68,142,27,104,264,20,39,129,55,85,150,17
Arthur,1938,6528,186,0,40,81,307,76,103,12,35,117,168,19,21,358,123,68,70,97,141,70,88,404,290,102,130,135,28,28,0,39,271,51,874,164,26,264,64,27,456,58,137,20,78,243,16,25,127,69,89,119,14
Arthur,1939,6376,194,10,45,83,330,69,95,11,35,120,196,23,20,347,107,73,44,103,150,66,88,362,256,90,138,138,23,35,0,57,236,31,826,126,25,232,65,39,444,60,127,20,110,287,14,22,132,57,96,112,7
Arthur,1940,6521,190,9,46,78,323,77,117,10,43,114,184,23,28,314,120,60,58,119,142,66,91,361,280,112,130,137,27,36,0,47,242,47,926,160,32,238,85,39,429,47,130,21,97,260,30,33,120,48,88,95,12
Arthur,1941,6738,182,0,40,91,372,77,132,16,56,120,194,26,19,360,115,64,46,102,161,64,93,370,265,96,114,137,30,41,6,47,253,60,945,147,33,274,56,40,440,76,126,18,92,327,17,18,123,65,79,113,0
Arthur,1942,8033,233,0,57,80,407,70,174,16,67,142,224,43,21,435,143,72,61,131,171,83,113,452,368,113,125,172,35,39,0,48,335,58,1175,183,26,291,56,45,536,88,143,22,121,308,38,31,171,81,81,139,10
Arthur,1943,7791,236,0,49,80,497,73,171,21,72,158,217,30,17,376,151,62,52,123,183,75,106,433,295,96,116,147,33,40,8,46,338,50,1109,174,18,280,79,54,468,82,174,14,125,344,25,35,169,72,87,126,5
Arthur,1944,7255,204,0,49,80,460,71,142,10,69,152,237,35,18,322,124,67,54,121,169,64,100,394,289,97,129,130,21,21,7,50,314,61,925,188,32,254,79,50,457,72,149,16,108,353,29,23,169,86,84,113,7
Arthur,1945,6804,203,7,53,75,454,59,131,16,68,160,204,35,14,332,102,49,51,86,161,59,82,386,268,76,136,120,29,39,0,32,285,52,921,174,22,242,78,37,384,73,136,14,83,367,25,22,158,62,53,113,16
Arthur,1946,7545,229,6,67,92,514,71,138,11,76,144,222,24,24,380,110,59,59,101,174,66,92,442,292,85,139,154,22,30,11,52,323,52,1002,178,16,287,67,48,462,77,152,20,126,380,25,23,146,83,74,113,5
Arthur,1947,8255,232,6,50,100,534,86,131,28,74,204,255,23,26,407,126,62,56,116,180,78,132,458,335,83,149,153,32,25,11,52,351,65,1133,189,14,300,82,59,502,90,188,16,152,383,26,21,184,88,81,122,5
Arthur,1948,7579,206,9,65,91,572,62,144,19,68,167,247,39,19,381,118,61,54,112,188,63,97,406,306,90,152,151,19,33,7,34,306,72,949,188,21,291,64,44,432,74,155,13,116,398,32,18,157,74,80,110,5
Arthur,1949,7491,210,7,54,91,579,78,118,20,56,165,246,30,12,368,115,41,59,122,195,60,107,369,328,78,147,143,24,34,0,50,305,76,929,175,12,289,55,40,411,72,171,27,127,405,29,21,160,81,78,109,13
Arthur,1950,7165,220,13,51,86,587,72,112,29,73,165,226,25,14,363,108,56,58,107,155,53,102,336,292,66,158,128,13,40,5,36,270,73,940,161,13,268,73,53,407,58,143,20,106,400,18,28,130,84,77,83,11
Arthur,1951,7414,203,13,76,83,569,61,106,20,62,174,236,33,13,366,119,50,65,97,159,68,117,337,328,63,164,134,22,34,10,52,308,79,961,163,13,301,69,43,389,56,161,5,121,447,29,17,186,76,63,87,6
Arthur,1952,7237,198,11,79,94,607,78,131,12,70,156,197,38,10,357,116,44,54,101,183,48,99,304,293,63,160,121,17,32,0,48,283,72,922,174,15,266,60,47,380,60,187,16,122,431,28,20,158,73,89,104,9
Arthur,1953,7004,213,14,72,58,635,81,123,25,62,170,229,22,16,332,113,47,52,102,176,56,117,288,294,60,128,113,23,36,6,32,286,50,844,174,17,271,41,53,394,66,130,16,83,473,21,22,151,68,43,94,12
Arthur,1954,6872,177,15,65,64,637,65,117,21,56,180,193,32,19,328,114,48,52,80,178,45,105,263,286,62,150,139,12,44,8,31,259,62,774,173,12,265,45,41,391,54,169,8,89,471,17,19,194,76,70,88,9
Arthur,1955,6577,169,16,72,51,638,62,124,18,53,172,185,31,16,322,93,33,48,88,160,48,110,291,268,45,157,109,21,23,10,33,286,68,789,171,8,230,57,33,360,61,112,10,114,428,18,18,140,67,58,73,10
Arthur,1956,6293,171,17,69,50,604,66,115,16,51,206,183,22,20,306,109,35,44,69,158,34,88,259,258,57,137,108,16,26,13,22,279,57,724,139,12,258,42,27,352,69,129,8,74,386,23,16,154,73,55,77,10
Arthur,1957,6055,187,16,69,73,645,58,99,15,46,188,183,25,15,295,97,20,49,89,176,47,88,251,242,42,95,118,14,32,10,35,255,74,732,125,6,242,33,25,300,42,107,8,75,368,23,13,134,53,48,61,12
Arthur,1958,5668,140,9,85,51,643,63,85,17,46,181,183,30,8,254,78,32,43,64,170,40,83,256,219,38,99,121,16,16,8,32,240,63,620,134,6,196,36,24,298,50,115,9,68,382,18,16,101,55,41,78,8
Arthur,1959,5472,133,11,79,49,586,69,108,13,40,180,159,16,11,276,82,21,41,74,149,29,91,222,218,34,113,88,13,22,6,29,231,53,628,127,11,233,30,21,296,37,100,8,70,335,23,16,112,47,52,73,7
Arthur,1960,5186,123,12,75,47,575,61,97,19,48,196,148,27,8,261,89,19,33,69,136,43,66,212,231,55,81,79,13,17,7,28,185,63,560,115,0,214,39,23,283,41,97,0,78,338,13,9,107,52,19,61,14
Arthur,1961,4813,126,9,70,38,521,48,74,10,31,195,111,21,11,227,83,31,23,54,124,47,75,202,186,37,96,77,12,17,8,24,217,60,505,117,5,166,36,29,250,39,99,8,58,338,19,15,114,53,30,60,7
Arthur,1962,4444,121,9,57,36,505,55,87,11,34,136,158,18,9,196,58,23,29,50,119,35,64,184,137,23,92,83,17,19,10,25,181,55,485,104,6,170,39,22,225,44,78,8,72,288,11,5,104,49,36,62,0
Arthur,1963,4272,117,7,42,44,507,58,91,12,33,157,127,15,11,206,61,19,27,49,131,33,67,209,165,18,87,64,0,18,12,25,140,52,481,103,5,150,29,21,213,36,80,7,51,266,10,18,91,39,20,43,5
Arthur,1964,4149,102,9,47,25,508,43,85,14,34,166,120,20,6,204,73,18,16,57,108,32,73,164,157,23,82,56,7,11,6,21,166,46,458,103,6,153,34,24,182,30,83,7,74,279,13,12,86,40,19,41,6
Arthur,1965,3769,93,12,60,29,464,39,72,14,30,107,118,19,10,189,48,19,32,44,108,22,63,162,157,31,56,57,12,21,8,22,158,36,394,76,0,138,31,25,200,31,75,0,51,230,17,12,68,46,23,35,5
Arthur,1966,3474,88,5,54,25,427,31,59,10,27,137,85,16,8,178,60,23,25,37,95,25,70,136,142,20,50,47,12,12,6,14,137,38,373,88,0,146,32,24,189,27,58,0,37,209,14,8,80,36,22,32,0
Arthur,1967,3316,78,10,46,33,418,29,63,6,32,100,98,19,12,162,56,10,18,38,76,24,65,141,154,20,64,52,9,10,5,14,140,26,341,77,7,113,21,18,173,28,56,7,47,194,11,16,82,32,22,38,5
Arthur,1968,3040,63,6,35,32,356,38,63,6,30,107,104,7,6,145,52,15,15,38,76,27,59,118,131,20,52,46,10,0,6,16,126,31,303,72,0,130,14,16,165,22,48,9,46,207,8,8,70,42,17,27,0
