Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Bruce,1910,45,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0
Bruce,1911,109,8,0,0,7,5,0,0,0,0,0,0,0,0,0,5,7,0,6,5,0,0,5,0,6,0,0,0,0,0,0,0,0,5,15,0,0,0,0,11,0,0,0,0,16,0,0,8,0,0,0,0
Bruce,1912,286,6,0,0,12,10,11,0,0,0,0,8,0,0,16,7,7,0,5,0,0,0,6,17,8,5,7,0,6,0,0,0,0,23,23,0,12,0,6,36,0,0,0,13,14,0,0,6,6,10,6,0
Bruce,1913,343,15,0,0,10,20,0,0,0,0,0,6,0,0,18,12,17,9,11,0,0,0,5,19,9,0,7,0,0,0,0,0,0,26,26,7,14,0,0,30,0,7,0,20,25,0,0,8,8,6,8,0
Bruce,1914,496,13,0,0,8,14,0,5,0,0,0,12,0,0,46,15,10,10,8,9,0,8,6,29,11,11,10,6,9,0,0,5,0,38,27,0,18,22,0,48,0,12,0,16,33,0,0,14,11,12,0,0
Bruce,1915,640,14,0,0,21,22,10,0,0,0,7,6,0,6,39,18,30,16,18,12,0,7,5,45,15,10,13,10,10,0,0,11,0,25,32,0,23,11,6,55,0,7,6,31,32,7,0,13,23,11,13,0
Bruce,1916,733,17,0,0,12,25,5,0,0,0,8,11,0,7,49,19,19,15,21,8,0,7,16,47,16,6,12,5,15,0,0,6,0,48,49,12,25,14,11,73,0,14,7,34,35,9,0,15,16,15,10,0
Bruce,1917,790,16,0,5,18,29,8,6,0,0,6,16,0,9,31,24,28,16,15,13,5,8,7,38,22,12,11,9,11,0,0,14,0,54,38,12,46,19,13,73,0,14,8,18,24,7,0,21,21,20,20,5
Bruce,1918,970,18,0,6,12,42,13,0,0,0,10,14,0,11,54,23,37,22,29,8,6,12,21,66,21,13,21,13,12,0,0,19,0,56,51,7,44,13,16,91,0,14,6,40,37,7,0,14,29,15,27,0
Bruce,1919,859,18,0,8,21,41,14,0,0,0,10,19,0,5,35,21,32,15,22,0,0,9,6,50,20,10,11,16,18,0,0,12,0,42,45,7,48,23,14,83,0,19,11,32,34,8,0,35,14,16,15,0
Bruce,1920,972,12,0,8,15,48,11,10,0,0,10,17,0,0,52,21,20,14,26,16,0,12,19,71,26,9,19,13,13,0,0,17,0,65,51,11,54,21,17,83,0,17,11,33,28,13,0,21,27,17,24,0
Bruce,1921,1039,22,0,0,16,45,10,6,0,0,6,19,0,12,60,30,29,11,23,8,0,0,17,64,46,6,16,12,11,0,0,15,7,68,62,5,60,36,13,91,0,14,0,26,45,6,6,32,29,21,34,0
Bruce,1922,1093,25,0,5,24,69,9,7,0,6,8,16,0,8,47,32,32,17,24,10,0,10,26,77,19,7,19,14,16,0,7,19,0,89,53,13,57,26,12,97,0,17,11,28,40,11,0,23,25,18,20,0
Bruce,1923,1204,24,0,7,17,74,24,7,0,0,14,26,0,10,56,24,41,17,31,7,5,9,23,87,40,11,21,14,20,0,7,18,0,89,70,10,58,26,15,104,0,13,11,24,40,18,0,17,20,30,25,0
Bruce,1924,1302,18,0,5,15,71,14,8,0,0,6,18,0,13,98,23,38,19,19,10,12,10,21,110,41,8,27,15,18,0,7,32,0,115,62,10,53,34,15,104,7,24,5,22,47,15,9,20,25,22,37,0
Bruce,1925,1350,25,0,8,25,62,11,8,0,7,13,17,0,8,75,30,47,22,27,15,8,12,34,124,35,9,17,12,20,0,7,22,6,118,52,5,62,23,25,109,6,19,11,33,45,15,0,28,24,19,40,10
Bruce,1926,1397,14,0,6,14,85,17,10,0,9,18,11,0,12,76,31,43,16,34,22,8,17,33,132,36,8,17,7,22,0,5,16,0,125,67,17,64,26,16,106,6,24,8,39,40,18,0,30,36,22,34,0
Bruce,1927,1442,13,0,0,20,74,15,16,0,0,16,19,0,9,79,26,49,20,28,14,13,8,43,126,44,7,17,11,15,0,6,29,0,143,70,12,76,31,27,107,5,13,9,29,52,16,0,28,40,20,41,6
Bruce,1928,1616,31,0,8,12,99,19,12,0,0,10,12,0,6,79,38,40,14,30,12,10,14,47,137,56,11,22,0,24,0,7,39,9,165,66,12,82,15,22,131,6,20,15,28,50,20,5,40,46,26,64,5
Bruce,1929,1616,18,0,12,12,89,21,23,0,6,11,10,0,11,71,30,31,22,40,7,5,7,54,154,52,11,19,13,34,5,11,50,5,168,66,13,85,37,20,130,5,12,6,33,44,13,8,31,43,23,38,7
Bruce,1930,1697,22,0,0,15,107,17,26,0,6,12,16,0,12,95,43,39,20,27,21,16,13,63,138,58,0,17,13,32,0,9,47,5,202,63,9,88,31,21,119,6,16,14,30,46,14,9,34,37,17,52,0
Bruce,1931,1776,27,0,7,13,105,15,26,0,8,17,11,0,12,109,36,52,23,35,10,17,11,58,167,58,13,23,12,24,0,13,49,0,210,61,16,86,21,24,138,5,14,8,33,39,15,9,24,44,21,57,0
Bruce,1932,1926,18,0,6,20,111,14,36,0,8,16,18,0,18,129,48,47,19,30,13,16,17,73,150,61,7,33,15,20,0,11,65,0,227,69,17,94,27,22,165,9,15,13,32,48,26,12,28,39,16,48,0
Bruce,1933,2024,20,0,8,18,100,23,29,0,5,19,16,0,9,124,37,43,24,36,15,25,22,87,156,90,15,28,16,29,0,14,58,0,267,59,19,85,28,22,144,12,28,13,32,40,22,16,31,43,22,75,0
Bruce,1934,2389,17,0,0,19,143,24,38,0,6,10,20,0,14,174,54,55,37,37,13,40,21,101,176,88,16,39,13,26,5,17,71,7,290,72,23,105,32,19,172,13,19,20,35,65,32,17,31,58,20,79,6
Bruce,1935,2435,25,0,5,22,132,27,30,0,16,19,24,0,15,179,41,57,30,31,21,25,15,124,166,90,14,41,15,41,0,17,81,0,304,71,17,124,31,46,162,14,13,11,45,50,26,12,33,52,25,88,8
Bruce,1936,2616,15,0,7,16,146,20,44,0,17,24,17,0,16,182,63,50,18,41,14,30,20,138,169,114,10,33,25,42,0,24,89,7,307,77,31,137,32,29,208,17,22,17,34,47,39,18,36,51,21,102,0
Bruce,1937,2803,21,0,11,23,192,22,47,8,7,16,14,0,23,195,59,59,43,46,10,20,26,145,196,126,15,39,24,23,0,24,93,0,347,87,29,147,27,30,184,13,17,19,39,43,39,16,37,56,27,111,8
Bruce,1938,3121,36,0,12,15,186,22,51,7,15,20,17,0,23,221,62,65,27,44,27,30,18,164,197,142,11,50,20,39,0,37,115,6,395,76,33,195,33,38,238,17,10,25,31,51,39,27,40,48,25,112,9
Bruce,1939,3225,29,0,7,19,213,35,65,5,18,19,19,0,17,227,63,69,46,45,23,53,20,163,176,155,18,50,18,38,0,37,137,5,427,64,27,175,33,31,214,30,23,20,47,60,33,12,43,55,17,113,12
Bruce,1940,3782,21,0,7,23,262,18,86,6,17,29,23,6,33,286,74,68,47,41,33,46,23,199,227,196,13,43,25,37,0,40,169,0,521,74,42,202,23,48,243,25,31,22,46,52,42,23,37,72,30,146,5
Bruce,1941,4292,17,0,11,19,263,23,83,11,30,32,29,0,25,259,74,89,34,40,34,62,33,263,314,264,11,63,27,45,0,39,211,9,621,98,35,229,46,58,248,29,16,16,42,60,42,19,42,89,24,152,12
Bruce,1942,5379,30,0,12,32,390,34,113,14,41,40,33,9,21,366,102,95,36,57,31,71,47,259,359,332,16,82,21,39,8,44,277,10,812,97,45,309,41,64,320,36,36,21,49,63,54,36,51,116,26,182,0
Bruce,1943,5427,37,0,14,30,395,36,131,10,49,64,38,18,37,378,103,88,41,57,36,84,55,310,312,274,21,82,32,46,9,48,236,9,713,103,39,308,38,65,362,40,20,21,45,103,69,38,43,138,29,164,9
Bruce,1944,5262,39,5,17,25,411,28,132,7,54,61,34,8,38,322,107,97,45,75,32,78,51,288,306,264,11,62,28,40,10,47,228,13,695,96,45,252,45,76,332,32,29,21,50,111,51,30,61,149,24,192,8
Bruce,1945,5611,38,0,32,31,471,40,119,13,52,86,26,11,32,320,121,109,48,67,37,77,77,255,323,255,16,81,31,60,9,39,260,13,762,100,30,252,47,70,381,48,36,21,50,109,61,29,60,161,38,193,14
Bruce,1946,8459,58,5,27,42,711,66,190,27,69,97,56,18,50,535,172,172,84,92,72,91,81,459,466,424,25,145,51,67,13,70,417,16,1206,115,60,458,68,96,533,53,36,28,56,134,89,44,87,216,37,262,13
Bruce,1947,10524,65,10,35,35,890,72,191,34,77,127,64,29,54,659,255,224,105,124,99,140,155,569,583,544,24,185,49,85,20,106,501,20,1350,112,82,562,80,147,656,70,63,60,83,181,105,65,119,253,75,315,16
Bruce,1948,11065,80,10,49,52,924,92,236,36,82,139,87,41,51,670,272,206,115,113,94,136,160,554,582,501,41,192,53,104,17,97,519,25,1417,141,89,677,64,150,700,84,57,57,65,225,113,58,131,265,55,359,28
Bruce,1949,12265,102,9,58,51,1069,106,210,25,91,164,98,36,73,720,320,295,97,140,136,135,163,495,647,588,53,197,78,104,26,104,560,44,1517,178,115,711,95,171,794,71,73,60,81,295,113,70,145,264,98,386,34
Bruce,1950,12681,98,20,53,78,1017,100,212,41,112,186,111,41,95,755,326,268,116,160,148,154,184,540,674,535,51,248,63,103,20,118,539,46,1518,190,108,746,107,183,812,92,72,72,110,316,110,56,176,309,67,394,31
Bruce,1951,14090,121,14,59,79,1159,120,253,46,118,208,127,51,65,869,413,301,181,184,150,127,256,533,739,592,66,290,71,132,17,103,596,35,1501,179,115,848,118,179,965,79,78,93,136,399,109,56,205,322,110,486,37
Bruce,1952,14481,125,25,60,86,1253,129,234,52,102,237,151,64,75,868,457,297,164,180,194,145,232,578,754,665,70,271,63,145,14,103,649,47,1494,200,110,823,121,190,964,90,84,90,109,398,110,70,226,332,95,453,33
Bruce,1953,14046,114,19,63,77,1232,136,237,45,88,245,173,53,63,820,446,280,178,158,165,140,215,519,766,626,61,281,66,152,21,96,647,47,1436,221,104,816,129,186,891,91,92,79,111,430,105,47,205,303,88,451,32
Bruce,1954,14149,114,30,69,76,1202,138,269,43,93,270,165,51,80,849,411,289,167,183,182,143,222,539,753,581,71,289,62,127,21,83,562,53,1315,196,112,894,121,169,984,91,101,94,125,467,90,56,238,296,104,481,28
Bruce,1955,14090,128,29,64,89,1208,152,258,52,100,280,160,47,75,848,417,274,163,203,222,156,189,532,704,541,74,320,80,154,18,97,517,50,1335,224,131,806,137,167,925,79,110,70,132,464,99,51,252,296,124,462,25
