Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Clayton,1910,110,5,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,6,0,0,0,5,7,0,0,8,0,0,0,0,0,0,8,6,0,10,5,0,8,0,0,0,9,5,0,0,6,0,0,0,0
Clayton,1911,147,0,0,0,0,0,0,0,0,0,0,11,0,0,7,6,0,6,5,0,10,0,5,14,0,0,0,0,0,0,0,5,0,15,12,0,12,0,0,20,0,0,0,0,5,0,0,0,5,0,9,0
Clayton,1912,288,10,0,0,0,7,0,0,0,0,0,10,0,0,13,9,6,12,10,0,8,7,6,20,5,0,7,0,0,0,0,5,0,35,12,0,21,10,0,34,0,8,0,5,12,0,0,0,0,7,9,0
Clayton,1913,334,12,0,0,0,0,5,0,0,0,0,6,0,0,9,10,13,11,15,11,15,0,7,31,16,0,7,0,6,0,0,0,0,33,17,5,27,0,0,28,0,0,7,7,15,0,0,6,0,0,15,0
Clayton,1914,531,14,0,0,9,8,0,5,0,0,0,18,0,0,22,13,16,13,20,7,11,6,22,33,21,7,10,0,16,0,8,0,0,32,22,10,36,11,0,44,0,9,10,12,16,0,0,13,6,8,23,0
Clayton,1915,678,12,0,0,5,12,0,5,0,0,9,14,0,0,28,17,17,19,21,8,13,9,9,56,37,8,7,5,11,0,8,9,0,57,22,6,48,13,7,67,0,14,11,13,15,5,11,17,11,0,22,0
Clayton,1916,737,11,0,0,12,13,6,15,0,0,10,23,0,0,25,17,31,21,22,11,19,6,16,41,35,12,23,9,16,0,7,6,0,45,31,14,38,13,5,56,0,8,11,16,26,0,8,14,11,8,26,0
Clayton,1917,735,19,0,0,11,13,0,13,0,0,9,16,0,0,24,18,16,12,16,8,21,11,19,67,42,12,19,0,12,0,8,8,0,48,33,12,34,18,0,60,0,7,17,16,24,0,0,17,9,17,29,0
Clayton,1918,865,17,0,0,11,14,0,14,0,0,6,21,0,6,21,15,23,17,34,8,21,12,26,63,42,14,10,6,20,0,7,9,0,75,34,16,59,23,7,59,0,19,13,14,22,0,6,19,10,19,33,0
Clayton,1919,883,17,0,0,14,15,10,9,0,0,0,24,0,5,29,16,30,21,27,14,29,12,26,67,54,13,16,6,26,0,5,6,0,60,28,23,35,27,10,59,0,8,22,21,22,0,7,8,12,16,34,0
Clayton,1920,953,24,0,0,8,20,10,11,0,6,14,25,0,0,29,18,26,21,27,14,26,8,21,64,57,12,26,5,19,0,11,9,0,56,45,15,50,12,7,65,0,14,23,23,33,6,9,18,13,13,40,0
Clayton,1921,935,23,0,0,14,17,7,8,0,0,13,20,0,7,30,14,25,26,28,18,23,13,18,59,66,13,20,9,20,0,8,13,0,60,23,22,47,20,6,61,0,9,21,26,32,0,8,12,21,14,41,0
Clayton,1922,962,20,0,0,12,19,17,5,0,0,10,20,0,0,27,18,30,22,31,17,29,10,21,74,60,11,13,13,15,0,11,10,0,70,24,20,46,25,6,65,0,12,15,19,35,0,9,21,12,22,46,0
Clayton,1923,969,24,0,0,10,10,0,11,0,0,9,21,0,0,38,23,26,27,38,13,26,7,28,55,76,21,18,9,21,0,7,14,0,63,36,14,42,19,5,69,0,12,14,26,30,0,7,19,14,14,53,0
Clayton,1924,1024,23,0,0,23,31,11,10,5,0,9,20,0,0,29,19,23,25,40,15,31,10,29,52,53,17,14,8,14,0,13,0,0,59,42,23,59,22,6,76,0,11,14,21,46,8,15,20,10,20,48,0
Clayton,1925,919,27,0,0,23,21,10,14,0,0,15,20,0,0,23,22,18,29,34,22,32,7,22,68,46,17,18,8,18,0,6,14,0,51,32,14,34,16,12,61,0,0,15,18,35,6,9,14,9,11,48,0
Clayton,1926,931,19,0,0,9,21,11,0,0,0,17,18,0,7,27,17,33,11,24,23,36,0,32,64,52,11,10,8,18,0,0,12,0,80,27,15,43,16,9,64,0,13,19,16,30,13,0,21,20,23,42,0
Clayton,1927,904,20,0,0,9,24,10,7,0,0,10,15,0,0,23,14,22,24,24,22,21,12,33,59,63,14,16,5,17,0,10,13,0,48,38,11,46,19,7,52,0,10,17,25,29,0,9,24,9,21,52,0
Clayton,1928,822,30,0,0,6,17,6,6,0,0,8,10,0,7,24,11,12,27,29,21,22,13,15,43,50,17,15,6,13,0,10,14,0,48,36,16,37,17,5,51,0,16,14,22,31,5,6,20,11,14,41,0
Clayton,1929,835,23,0,0,6,22,0,7,0,0,15,22,0,6,29,9,22,15,28,28,22,5,13,61,45,16,13,6,22,0,11,9,0,45,33,21,33,16,7,47,0,15,18,18,31,6,8,25,7,24,26,0
