Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Cyrus,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1911,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1912,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,5,0
Cyrus,1913,33,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0
Cyrus,1914,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0
Cyrus,1915,59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,15,0,6,0,0,5,0,0,0,0,6,0,0
Cyrus,1916,61,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,6,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,6,0,5,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1917,80,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,5,0,0,0,0,6,0,6,0,0,0,0,0,0,10,7,0,6,0,0,17,0,0,0,5,5,0,0,0,0,0,0,0
Cyrus,1918,90,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,5,6,0,0,0,0,0,0,5,0,10,10,0,7,0,0,12,0,8,0,0,8,0,0,0,0,0,0,0
Cyrus,1919,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,7,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1920,70,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,6,0,0,0,0,5,0,0,11,0,0,0,0,6,0,0,0,0,7,0,0,6,0,5,5,0
Cyrus,1921,69,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,13,0,7,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0
Cyrus,1922,74,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,13,0,0,0,0,16,0,0,0,5,5,0,0,0,0,6,0,0
Cyrus,1923,55,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0
Cyrus,1924,47,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1925,59,0,0,0,0,0,0,0,0,0,6,5,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,7,0,5,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0
Cyrus,1926,66,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,7,0,0,12,0,0,0,0,0,0,0,5,0,6,6,0
Cyrus,1927,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1928,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0
Cyrus,1929,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1930,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cyrus,1931,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
