Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Daisy,1910,846,62,0,0,29,7,6,0,0,0,27,107,0,0,19,14,7,15,31,32,0,18,0,8,0,55,24,0,8,0,0,8,0,17,59,0,22,24,0,19,0,72,0,50,41,0,0,44,0,21,0,0
Daisy,1911,794,59,0,0,21,6,0,0,0,0,20,81,0,0,19,6,7,14,42,43,0,7,0,19,0,39,26,0,5,0,0,11,0,21,67,0,11,19,0,29,0,82,0,40,46,0,0,34,0,20,0,0
Daisy,1912,1009,71,0,0,33,7,0,0,0,5,33,142,0,0,21,12,12,0,46,46,0,12,8,7,5,55,28,0,11,0,0,8,0,28,72,0,25,29,0,27,0,80,0,47,55,0,9,43,0,25,7,0
Daisy,1913,1017,78,0,0,30,13,6,5,0,0,31,99,0,0,30,20,13,16,47,41,0,15,0,8,11,45,29,0,7,0,0,12,0,29,91,0,25,24,0,30,0,78,0,46,49,0,0,59,5,18,7,0
Daisy,1914,1164,94,0,0,42,10,7,0,0,5,52,116,11,0,23,16,12,10,36,42,0,16,13,9,13,43,42,0,7,0,0,10,0,29,90,0,26,38,0,34,0,79,5,57,72,0,0,64,6,24,11,0
Daisy,1915,1482,91,0,0,44,16,5,5,0,0,36,137,7,0,48,31,13,20,54,43,0,23,11,25,11,64,53,5,10,0,0,16,0,39,130,0,34,47,0,50,0,101,0,64,91,7,0,84,10,49,8,0
Daisy,1916,1477,126,5,0,45,12,8,0,0,0,40,144,0,0,43,29,17,17,57,60,5,19,13,27,13,60,48,8,6,0,0,16,0,37,121,0,41,57,7,60,0,101,0,56,62,0,0,62,8,36,11,0
Daisy,1917,1386,108,0,0,40,18,7,5,0,7,38,137,0,0,39,17,20,14,55,64,0,14,5,20,11,45,46,8,10,0,0,12,0,37,98,0,39,49,5,53,0,95,5,62,60,0,0,89,0,43,11,0
Daisy,1918,1496,93,0,0,50,21,7,0,0,6,48,180,8,0,27,25,24,18,72,57,0,17,10,13,9,60,35,9,12,0,0,11,5,33,123,5,36,53,0,53,0,124,0,65,73,0,5,66,7,36,0,0
Daisy,1919,1475,96,0,0,41,21,8,5,0,0,40,148,6,0,34,27,7,14,56,74,0,12,9,19,6,73,61,8,0,0,0,16,6,24,117,0,47,63,0,49,0,136,7,46,74,0,0,80,9,28,8,0
Daisy,1920,1455,102,0,0,53,17,7,0,0,0,43,147,8,0,36,15,6,22,79,56,0,20,9,26,0,59,34,5,7,0,0,13,5,27,128,0,33,56,7,55,0,108,0,54,80,0,0,90,0,38,5,5
Daisy,1921,1460,87,0,5,55,14,9,0,0,5,54,143,8,0,33,25,10,13,77,53,5,15,10,11,13,76,45,0,6,0,0,8,6,43,112,0,44,38,9,54,0,116,0,69,64,5,0,79,5,28,8,0
Daisy,1922,1497,92,0,6,63,29,10,5,0,0,47,167,7,5,29,19,11,12,53,66,0,24,10,18,14,75,43,0,10,0,0,10,0,34,131,0,32,33,0,53,0,139,0,62,54,0,0,73,9,44,8,0
Daisy,1923,1417,104,0,11,44,18,11,0,0,7,51,138,10,0,32,19,6,10,66,59,0,21,10,11,10,86,41,0,7,0,0,20,0,38,116,0,28,43,0,43,0,117,7,52,87,0,0,52,6,29,7,0
Daisy,1924,1430,94,0,0,41,28,6,0,0,0,51,106,14,0,37,17,9,21,59,61,0,22,12,21,7,86,48,0,0,0,0,15,7,42,133,0,36,38,6,49,0,115,0,59,71,0,0,68,5,38,8,0
Daisy,1925,1362,74,0,0,53,23,0,0,0,0,44,130,9,7,37,25,0,13,56,68,5,19,13,21,8,66,43,0,8,0,0,12,0,44,123,0,44,41,0,47,0,117,0,43,69,0,0,60,5,28,7,0
Daisy,1926,1254,95,0,6,46,23,0,6,0,7,44,92,6,0,29,24,16,0,58,47,0,21,5,15,0,96,34,0,0,0,0,7,9,28,127,0,38,32,5,42,0,107,0,39,66,0,0,50,9,25,0,0
Daisy,1927,1210,89,0,5,35,14,9,0,0,0,45,110,11,0,35,13,0,18,54,52,0,17,8,11,5,78,34,0,8,0,0,7,13,37,98,0,35,23,0,42,0,88,0,56,68,0,0,55,0,30,7,0
Daisy,1928,1195,95,0,6,49,17,0,0,0,0,37,121,5,0,22,11,15,10,43,55,0,18,0,22,0,77,33,0,0,0,0,13,0,47,107,0,30,28,0,40,0,107,0,49,50,0,0,60,0,28,0,0
Daisy,1929,1049,77,0,6,39,9,0,0,0,0,30,100,11,0,22,12,5,10,52,66,0,14,0,11,0,79,29,0,0,0,0,16,9,27,70,0,22,33,0,29,0,88,0,36,62,5,0,54,0,21,5,0
Daisy,1930,1039,83,0,8,38,18,8,0,0,5,31,109,0,0,25,7,6,6,38,42,0,13,5,16,5,55,15,0,7,0,0,5,8,37,96,0,25,31,0,23,0,104,0,39,53,0,0,55,5,18,0,0
Daisy,1931,972,79,0,5,20,16,0,0,0,0,34,95,0,0,24,6,8,9,41,48,0,14,6,12,0,70,24,0,0,0,0,8,0,31,87,0,25,26,0,30,0,100,0,43,50,0,0,38,0,17,6,0
Daisy,1932,1034,85,0,0,25,14,6,0,0,0,42,116,0,0,24,14,0,12,40,48,0,9,0,9,0,79,32,0,5,0,0,5,0,25,121,0,20,25,0,34,0,88,0,36,58,0,0,38,0,24,0,0
Daisy,1933,836,96,0,0,22,8,5,0,0,0,24,79,5,0,11,9,0,5,27,42,0,11,0,9,0,64,19,0,0,0,0,6,0,20,79,0,20,18,0,22,0,74,0,46,51,0,0,43,0,21,0,0
Daisy,1934,902,71,0,0,40,18,5,0,0,5,28,73,0,0,26,15,7,0,33,46,0,7,0,9,0,72,22,0,7,0,0,7,8,26,84,0,18,28,0,30,0,75,0,36,44,0,0,32,0,30,0,0
Daisy,1935,871,85,0,8,24,10,0,0,0,0,27,72,6,0,14,11,0,5,36,43,0,15,0,10,0,63,24,0,0,0,0,0,7,23,74,0,15,31,0,24,0,101,0,36,41,0,0,46,0,20,0,0
Daisy,1936,743,61,0,6,16,7,8,0,0,0,28,77,0,0,20,6,5,0,30,47,0,14,0,7,0,62,30,0,0,0,0,0,0,17,69,0,18,15,0,13,0,74,0,27,35,0,0,36,0,15,0,0
Daisy,1937,775,72,0,0,26,6,0,0,0,0,41,69,0,0,16,7,0,8,28,42,0,5,0,5,0,57,22,0,0,0,0,6,0,16,79,0,12,15,0,19,0,87,0,32,41,0,0,37,0,27,0,0
Daisy,1938,754,62,0,7,31,13,0,0,0,0,21,89,0,0,14,6,0,5,28,39,0,5,0,12,0,58,16,0,0,0,0,0,7,15,75,0,12,8,0,22,0,80,0,31,40,0,0,33,0,25,0,0
Daisy,1939,784,62,0,0,26,10,0,0,0,5,34,87,5,0,14,0,0,0,40,47,0,0,0,13,5,55,24,0,5,0,0,7,8,14,73,0,7,12,0,15,0,93,0,35,30,0,0,41,0,17,0,0
Daisy,1940,742,56,0,0,22,8,0,0,0,6,26,76,0,0,22,11,5,6,28,33,0,7,0,0,0,55,14,0,0,0,0,5,9,15,77,0,11,15,0,19,0,97,0,30,30,0,0,37,0,22,0,0
Daisy,1941,705,58,0,0,24,7,6,0,0,0,26,69,7,0,15,0,0,7,26,34,0,6,0,8,0,58,8,0,0,0,0,0,6,12,71,0,18,9,0,20,0,80,0,40,36,0,0,35,0,19,0,0
Daisy,1942,760,60,0,0,19,10,0,0,0,0,31,85,0,0,21,13,0,0,28,37,0,10,0,9,0,70,17,0,0,0,0,0,12,16,59,0,14,9,0,16,0,93,0,30,40,0,0,42,0,19,0,0
Daisy,1943,733,59,0,5,33,5,0,0,0,0,27,78,5,0,11,5,0,0,33,53,0,11,0,9,0,42,19,0,0,0,0,0,7,27,65,0,10,9,0,15,0,98,0,31,24,0,0,42,0,10,0,0
