Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Era,1910,73,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,23,0,0,0,0,0,0,0
Era,1911,51,10,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0
Era,1912,72,17,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,13,0,0,0,0,0,0,0
Era,1913,71,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0
Era,1914,100,19,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,8,30,0,0,0,0,0,0,0
Era,1915,119,17,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,31,0,0,0,0,0,0,0
Era,1916,140,28,0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,10,35,0,0,0,0,0,0,0
Era,1917,127,28,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,8,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,14,25,0,0,0,0,0,0,0
Era,1918,119,25,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,9,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0
Era,1919,122,32,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,32,0,0,0,0,0,0,0
Era,1920,120,28,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,5,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,6,0,8,17,0,0,0,0,0,0,0
Era,1921,123,22,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,8,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,5,0,13,29,0,0,0,0,0,0,0
Era,1922,114,33,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,16,24,0,0,0,0,0,0,0
Era,1923,107,18,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,5,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,15,26,0,0,0,0,0,0,0
Era,1924,91,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0
Era,1925,102,24,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,5,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0
Era,1926,101,24,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,14,18,0,0,0,0,0,0,0
Era,1927,98,30,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,11,20,0,0,0,0,0,0,0
Era,1928,59,20,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Era,1929,68,21,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Era,1930,49,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0
