Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Estella,1910,331,21,0,0,10,0,0,0,0,0,8,38,0,0,7,9,7,5,8,10,0,0,0,5,0,27,10,0,0,0,0,5,0,10,20,0,26,7,0,34,0,13,0,10,32,0,0,0,0,9,0,0
Estella,1911,312,20,0,0,12,0,0,0,0,0,9,31,0,0,8,7,7,0,9,10,0,0,0,6,0,23,8,0,0,0,0,0,5,5,23,0,25,10,0,33,0,0,0,13,32,0,0,11,0,5,0,0
Estella,1912,354,23,0,0,15,0,0,0,0,0,10,36,0,0,11,7,5,0,6,16,0,8,0,5,6,24,0,0,0,0,0,7,0,11,19,0,25,19,0,26,0,15,5,15,34,0,0,6,0,0,0,0
Estella,1913,422,29,0,0,12,0,6,0,0,0,15,35,0,0,10,7,8,16,7,22,0,9,0,7,0,32,19,0,0,0,0,7,0,14,22,0,15,7,0,27,0,14,0,9,48,0,0,11,0,8,6,0
Estella,1914,463,28,0,0,11,8,0,0,0,0,11,37,0,0,16,9,7,0,13,21,0,9,0,0,0,41,0,0,5,0,0,9,8,15,25,0,27,11,0,43,0,13,0,25,49,0,0,13,0,9,0,0
Estella,1915,562,32,0,0,23,0,7,0,0,0,15,44,0,0,18,11,8,5,16,24,7,19,9,9,0,33,8,0,0,0,0,8,12,22,27,0,37,16,0,57,0,12,5,18,33,0,0,12,0,9,6,0
Estella,1916,568,26,0,0,19,8,10,0,5,0,14,38,0,7,15,21,6,9,15,20,0,15,11,13,5,30,12,0,0,0,0,16,9,22,30,0,42,14,0,41,0,10,0,17,39,0,0,7,0,13,9,0
Estella,1917,581,31,0,5,21,12,10,0,0,0,15,51,0,0,22,16,8,12,14,13,0,12,6,12,0,49,12,0,5,0,0,12,0,17,24,0,28,15,0,41,0,13,0,22,51,0,0,16,0,9,7,0
Estella,1918,562,23,0,5,26,6,11,0,0,0,22,58,0,0,22,6,11,8,14,22,0,9,0,15,0,37,10,0,0,0,0,11,7,20,34,0,23,11,0,44,0,14,6,15,46,0,0,9,0,8,9,0
Estella,1919,529,27,0,7,25,9,0,0,0,0,14,37,0,0,10,14,7,7,12,16,0,11,0,15,0,51,16,0,0,0,0,5,5,16,35,0,18,11,0,46,0,14,0,14,52,0,0,16,5,6,8,0
Estella,1920,580,27,0,0,16,9,10,0,0,0,9,43,0,0,16,16,8,7,13,22,0,11,0,13,0,44,15,0,0,0,0,6,6,23,37,0,27,20,7,44,0,18,5,27,46,0,0,15,0,12,8,0
Estella,1921,605,32,0,7,25,16,13,0,0,0,13,40,0,8,17,15,7,7,13,24,0,14,5,11,0,44,9,0,6,0,0,12,20,15,36,0,22,12,5,40,0,14,0,16,60,0,0,10,5,7,5,0
Estella,1922,578,36,0,6,28,7,7,0,0,0,15,53,0,0,24,10,5,8,13,16,0,9,9,8,0,46,18,5,0,0,0,11,14,13,28,0,21,12,0,32,0,14,0,25,62,0,0,14,0,9,0,0
Estella,1923,534,27,0,8,19,12,0,0,0,0,18,42,0,0,14,5,6,5,7,14,0,13,5,7,6,51,12,0,7,0,0,7,16,11,36,0,16,16,0,48,0,10,0,17,58,0,0,13,0,8,0,0
Estella,1924,556,36,0,0,12,22,0,0,0,0,13,42,0,0,21,6,12,7,13,10,5,7,0,14,0,58,19,0,0,0,0,10,12,19,36,0,16,18,0,32,0,10,0,18,69,0,0,5,5,9,0,0
Estella,1925,577,26,0,5,16,23,15,0,0,0,13,52,0,0,16,19,8,10,16,16,0,11,0,8,0,49,6,0,0,0,0,6,14,15,34,0,13,16,0,38,0,18,0,13,69,0,0,13,0,10,9,0
Estella,1926,534,29,0,12,31,26,7,0,0,0,20,23,0,0,10,10,5,15,13,17,0,10,0,10,0,50,12,0,6,0,0,0,16,10,30,0,28,10,0,31,0,14,0,13,53,0,0,7,6,10,0,0
Estella,1927,507,18,0,9,25,28,8,0,0,0,17,25,0,0,14,5,5,10,14,17,0,8,0,13,0,46,10,0,0,0,0,11,13,18,31,0,19,8,0,34,0,8,0,13,62,0,0,9,0,9,0,0
Estella,1928,509,23,0,6,17,34,10,0,6,0,13,26,0,0,23,5,5,6,15,19,0,13,6,10,0,43,9,0,0,0,0,8,8,14,21,0,22,10,0,29,0,9,0,12,65,0,0,13,0,9,0,0
Estella,1929,468,22,0,7,18,26,8,0,0,0,12,44,0,0,15,0,0,6,14,17,0,0,0,15,0,46,9,0,0,0,0,7,17,11,13,0,19,9,0,36,0,10,0,13,66,0,0,8,0,0,0,0
Estella,1930,414,29,0,10,37,24,9,0,0,0,10,23,0,0,14,7,0,0,9,15,0,5,0,7,0,39,8,0,0,0,0,0,10,15,8,0,17,0,0,24,0,16,0,11,58,0,0,0,0,9,0,0
Estella,1931,418,22,0,8,15,25,6,0,0,0,9,19,0,0,12,8,0,0,0,15,0,8,0,9,0,36,7,0,0,0,0,6,13,15,22,0,15,10,0,31,0,10,0,13,71,0,0,5,0,8,0,0
Estella,1932,407,21,0,10,21,34,0,0,0,0,7,15,0,0,12,7,0,5,6,15,0,7,0,9,7,38,10,0,0,0,0,10,12,19,22,0,12,0,0,19,0,6,0,9,65,0,0,0,0,9,0,0
Estella,1933,371,19,0,0,8,18,0,0,0,0,7,21,0,0,13,14,0,0,11,11,0,6,0,8,0,44,8,0,0,0,0,0,10,15,15,0,16,0,0,25,0,12,0,20,59,0,0,6,0,5,0,0
Estella,1934,338,9,0,6,14,22,0,0,0,0,8,21,0,0,8,6,0,0,7,0,6,5,0,7,0,32,6,0,0,0,0,8,16,15,7,0,6,6,0,20,0,14,0,12,71,0,0,6,0,0,0,0
Estella,1935,339,23,0,0,10,22,8,0,0,0,10,23,0,0,8,0,0,5,6,7,0,5,6,0,0,24,6,0,0,0,0,5,13,9,20,0,15,10,0,15,0,9,0,12,54,0,0,8,0,6,0,0
Estella,1936,317,29,0,10,9,30,10,0,0,0,10,23,0,0,8,8,0,0,0,0,0,7,0,8,0,33,0,0,0,0,0,6,6,7,8,0,9,5,0,8,0,7,0,8,68,0,0,0,0,0,0,0
Estella,1937,316,22,0,8,10,21,5,0,0,0,8,22,0,0,7,0,0,0,0,13,0,5,0,7,0,26,0,0,0,0,0,0,7,9,9,0,9,0,0,15,0,7,0,11,76,0,0,5,0,14,0,0
Estella,1938,292,12,0,0,12,27,0,0,0,0,5,13,0,0,8,5,0,0,9,7,0,6,0,5,0,25,5,0,0,0,0,0,15,9,11,0,17,0,0,13,0,7,0,7,68,0,0,0,0,6,0,0
Estella,1939,325,18,0,9,11,14,7,0,0,0,8,28,0,0,7,0,0,0,0,14,0,5,0,7,0,21,10,0,0,0,0,0,13,9,21,0,18,0,0,18,0,0,0,7,72,0,0,0,0,8,0,0
Estella,1940,329,14,0,6,14,18,0,0,0,0,13,25,0,0,9,0,0,0,5,14,0,7,0,8,0,21,0,0,0,0,0,7,11,6,8,0,16,5,0,21,0,10,0,14,70,0,0,7,0,0,0,0
Estella,1941,294,14,0,7,5,32,5,0,0,0,8,26,0,0,8,0,0,0,0,10,0,6,0,0,0,28,0,0,0,0,0,5,8,0,5,0,10,5,0,15,0,6,0,6,77,0,0,8,0,0,0,0
Estella,1942,318,16,0,0,12,24,0,0,0,0,16,22,0,0,7,0,0,0,0,11,0,7,0,7,0,38,6,0,0,0,0,6,12,5,10,0,15,5,0,12,0,0,0,9,67,0,0,0,0,6,5,0
Estella,1943,333,15,0,5,10,29,5,0,0,0,9,25,0,0,8,0,0,0,6,10,0,0,0,11,0,31,6,0,0,0,0,0,10,9,10,0,6,8,0,10,0,10,0,12,80,0,0,8,0,0,0,0
Estella,1944,286,14,0,10,6,19,6,0,0,0,5,21,0,0,5,0,0,0,0,12,0,6,0,8,0,23,6,0,0,0,0,0,8,5,11,0,0,0,0,14,0,0,0,13,94,0,0,0,0,0,0,0
Estella,1945,314,13,0,5,9,31,0,0,0,0,8,25,0,0,0,0,0,8,8,13,0,0,0,0,0,29,6,0,0,0,0,0,8,6,13,0,8,0,0,13,0,6,0,7,98,0,0,0,0,0,0,0
Estella,1946,337,16,0,6,10,33,6,0,0,0,8,15,0,0,0,0,0,0,0,7,0,0,0,7,0,38,9,0,0,0,0,6,15,8,17,0,7,5,0,14,0,6,0,6,98,0,0,0,0,0,0,0
Estella,1947,384,22,0,5,8,31,5,0,0,0,6,21,0,0,12,0,0,0,7,17,0,0,0,6,0,27,0,0,0,0,0,0,12,16,9,0,11,0,0,12,0,7,0,12,133,0,0,5,0,0,0,0
Estella,1948,360,16,0,8,13,36,0,0,0,0,10,29,0,0,11,5,0,0,0,6,0,7,0,12,0,34,6,0,0,0,0,0,11,11,14,0,5,0,0,11,0,0,0,10,100,0,0,5,0,0,0,0
Estella,1949,405,9,0,0,11,39,5,0,0,0,10,17,0,0,10,6,0,0,8,6,0,8,0,14,5,27,6,0,0,0,0,0,10,12,12,0,13,5,0,9,0,6,0,16,132,0,0,9,0,0,0,0
Estella,1950,362,16,0,5,15,30,0,0,0,0,7,16,0,0,0,6,0,0,6,14,0,0,0,0,0,28,8,0,0,0,0,5,15,14,14,0,10,0,0,8,0,5,0,7,133,0,0,0,0,0,0,0
