Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Evangeline,1910,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangeline,1911,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangeline,1912,37,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
Evangeline,1913,73,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,12,5,7,0,7,0,5,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Evangeline,1914,80,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,9,8,9,0,0,0,0,0,0,0,0,5,6,0,6,0,0,10,0,5,0,0,0,0,0,0,0,0,5,0
Evangeline,1915,128,0,0,0,0,9,0,0,0,0,0,0,0,0,9,10,0,0,0,0,9,0,11,7,6,0,0,0,7,0,6,0,0,13,5,5,7,0,0,11,0,0,0,0,0,0,0,0,0,0,13,0
Evangeline,1916,119,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,0,0,0,5,0,11,5,13,0,0,0,0,0,0,0,0,12,9,0,14,0,0,7,0,0,0,0,6,0,0,6,0,0,8,0
Evangeline,1917,136,0,0,0,0,7,0,0,0,0,0,0,0,0,13,5,0,0,0,0,11,0,11,8,15,0,0,5,0,0,0,0,0,10,5,0,10,0,0,9,0,0,6,0,8,0,0,0,0,0,13,0
Evangeline,1918,167,0,0,5,0,8,0,5,0,0,0,0,0,0,10,6,6,0,0,0,9,0,14,12,14,0,0,0,5,0,0,0,0,14,7,6,8,0,0,10,0,0,5,0,12,0,0,0,0,0,11,0
Evangeline,1919,160,0,0,0,0,10,0,0,0,0,0,0,6,0,9,0,5,0,0,0,6,0,9,9,17,0,6,0,0,0,0,0,0,13,14,0,0,0,0,6,0,6,0,5,14,0,0,9,0,0,16,0
Evangeline,1920,208,0,0,0,5,0,0,0,0,0,0,0,0,0,7,11,5,0,0,0,0,0,14,14,18,0,5,0,5,0,8,0,8,16,14,8,9,0,5,19,0,0,0,0,16,0,0,5,0,0,16,0
Evangeline,1921,196,0,0,0,0,12,5,0,0,0,0,0,0,0,5,12,5,0,0,0,12,0,9,8,20,0,5,0,5,0,0,0,7,13,11,9,10,0,0,15,0,0,7,0,10,0,0,0,0,0,16,0
Evangeline,1922,207,0,0,0,0,10,0,0,0,0,0,0,7,0,10,6,0,0,0,0,11,5,16,7,18,0,0,0,7,0,0,0,6,9,11,5,6,0,0,14,0,6,0,0,22,0,0,11,0,0,20,0
Evangeline,1923,198,0,0,0,0,9,0,0,0,0,0,5,0,0,11,0,0,0,0,7,8,0,13,9,16,0,0,0,5,0,0,8,6,15,10,6,15,0,0,7,0,8,0,0,17,0,0,5,0,5,13,0
Evangeline,1924,199,0,0,0,0,17,0,5,0,0,6,0,0,0,12,9,0,0,0,5,0,0,16,7,20,0,5,0,0,0,0,0,7,21,11,0,7,0,0,10,0,0,0,0,18,0,0,5,0,8,10,0
Evangeline,1925,137,0,0,0,0,5,0,6,0,0,5,0,0,0,12,0,0,0,0,0,5,0,8,9,5,0,0,0,0,0,0,0,5,18,6,6,5,0,0,6,0,0,0,0,11,0,0,6,0,6,13,0
Evangeline,1926,158,0,0,0,0,8,0,0,0,0,0,0,5,0,9,6,5,0,0,0,0,0,17,0,15,0,0,0,0,0,5,5,0,14,14,10,7,0,0,7,0,0,0,0,5,0,0,9,0,7,10,0
Evangeline,1927,216,0,0,7,0,16,0,0,0,0,5,0,0,0,9,0,0,0,0,0,8,6,12,9,20,8,0,0,0,0,0,7,0,20,13,10,14,0,0,18,0,0,5,0,9,0,0,11,0,0,9,0
Evangeline,1928,163,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,7,7,19,0,0,0,0,0,6,0,8,26,9,6,8,0,0,5,0,0,0,0,10,0,0,5,0,0,10,0
Evangeline,1929,185,0,0,9,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,10,6,0,5,10,11,0,6,0,0,0,0,0,7,15,10,9,6,0,0,12,0,0,0,6,22,0,0,8,0,0,9,0
Evangeline,1930,243,5,0,9,0,21,6,0,0,0,0,0,7,0,9,6,5,0,0,10,6,0,7,8,21,0,0,0,0,0,7,5,8,23,11,11,6,0,0,10,0,0,0,5,19,0,0,7,0,6,5,0
Evangeline,1931,176,0,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,5,0,7,8,0,7,0,11,0,0,0,0,0,0,0,10,21,12,8,6,0,0,13,0,0,0,6,16,0,0,6,0,6,10,0
Evangeline,1932,146,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,6,12,0,0,0,0,0,0,6,18,9,16,10,0,0,0,0,0,0,0,0,22,0,0,0,0,0,7,0
Evangeline,1933,145,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0,6,8,7,0,0,8,7,0,0,0,0,0,0,0,8,14,10,11,7,0,0,10,0,0,0,0,24,0,0,0,0,0,0,0
Evangeline,1934,142,0,0,5,0,12,6,0,0,0,0,0,0,0,5,5,0,0,0,6,0,0,0,5,13,0,0,0,0,0,0,0,11,9,12,13,8,0,0,0,0,0,0,0,20,0,0,6,0,0,6,0
Evangeline,1935,127,0,0,0,0,19,5,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,9,13,11,0,8,0,0,6,0,7,0,0,20,0,0,7,0,0,0,0
Evangeline,1936,115,0,0,0,0,13,0,0,0,0,0,5,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,14,8,11,8,0,0,10,0,0,7,0,12,0,0,0,0,0,6,0
Evangeline,1937,137,0,0,7,0,15,0,0,0,0,0,0,8,0,0,0,0,0,5,7,5,6,0,5,9,0,0,0,0,0,0,0,14,8,12,7,5,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0
Evangeline,1938,116,0,0,0,0,13,6,0,0,0,0,5,7,0,0,0,0,0,5,5,0,0,0,7,5,0,0,0,0,0,0,0,14,6,8,8,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,0
Evangeline,1939,96,0,0,5,0,9,8,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,9,0,0,0,8,0,0,0,0,18,0,0,5,0,0,0,0
Evangeline,1940,115,0,0,13,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,8,13,7,5,0,0,9,0,0,0,0,20,0,0,0,0,0,0,0
Evangeline,1941,83,0,0,5,0,10,0,0,0,0,0,0,5,0,9,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0
Evangeline,1942,97,0,0,5,0,11,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,12,11,5,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0
Evangeline,1943,60,0,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Evangeline,1944,76,7,0,6,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Evangeline,1945,58,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Evangeline,1946,116,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,0,0,0,7,11,14,0,5,0,0,7,0,5,0,0,20,0,0,5,0,0,0,0
Evangeline,1947,75,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,19,0,0,6,0,0,0,0
Evangeline,1948,72,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,12,5,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0
Evangeline,1949,103,0,0,7,0,19,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,8,5,11,0,0,0,0,8,0,0,0,0,21,0,0,5,0,0,0,0
Evangeline,1950,105,0,0,5,0,15,0,0,0,0,5,5,0,0,0,0,0,0,0,6,0,5,0,5,0,0,0,0,0,0,0,0,8,7,13,0,7,0,0,5,0,6,0,0,13,0,0,0,0,0,0,0
Evangeline,1951,68,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0
Evangeline,1952,118,5,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,11,21,0,0,0,0,9,0,0,0,0,21,0,0,12,0,0,0,0
Evangeline,1953,72,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,5,11,0,0,0,0,5,0,0,0,0,15,0,0,8,0,0,0,0
Evangeline,1954,107,8,0,12,0,11,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,0,0,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0
