Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Harland,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harland,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harland,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harland,1913,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Harland,1914,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Harland,1915,67,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,6,7,7,0,0,0,0,0,0,0,0,8,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,5,6,0
Harland,1916,81,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,6,0,0,6,10,0,9,0,0,0,0,0,0,8,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Harland,1917,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,10,0,8,5,5,0,0,0,5,0,0,0,0,6,0,0,7,0,0,6,0,0,0,0,0,0,5,0,0,0,12,0
Harland,1918,105,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,9,5,0,0,12,0,0,13,11,0,0,0,0,0,0,0,0,8,0,0,12,0,0,5,0,0,8,0,0,0,0,0,0,0,10,0
Harland,1919,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,13,0,0,0,9,0,0,0,0,8,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,10,0
Harland,1920,88,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,7,0,0,0,0,0,24,0,0,0,0,0,0,0,0,10,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,19,0
Harland,1921,102,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,8,0,0,5,0,6,10,17,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,21,0
Harland,1922,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,7,17,0,0,0,0,0,5,0,0,8,0,5,6,7,0,5,0,0,0,0,0,0,0,0,0,0,27,0
Harland,1923,92,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,16,0,0,7,0,0,6,0,0,0,0,0,0,0,0,6,0,19,0
