Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Hershel,1910,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hershel,1911,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hershel,1912,35,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,0,0,0,0,0,0,0
Hershel,1913,67,0,0,0,9,0,0,0,0,0,0,8,0,0,0,8,0,0,7,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,8,0,0,0,0,0,0,0
Hershel,1914,81,6,0,0,9,0,0,0,0,0,0,6,0,0,0,7,0,5,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,13,0,0,0,0,0,0,0
Hershel,1915,118,8,0,0,13,0,0,0,0,0,0,9,0,0,7,7,0,0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,12,0,0,0,0,5,0,0
Hershel,1916,124,9,0,0,17,0,0,0,0,0,0,5,0,0,0,12,0,0,18,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,14,17,0,0,0,0,0,0,0
Hershel,1917,120,10,0,0,10,0,0,0,0,0,0,16,0,0,7,10,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,18,10,0,0,0,0,0,0,0
Hershel,1918,150,10,0,0,15,0,0,0,0,0,0,14,0,0,9,9,0,0,21,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,14,17,0,0,0,0,0,0,0
Hershel,1919,191,16,0,0,19,0,0,0,0,0,0,17,0,0,9,10,0,0,29,5,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,18,20,0,0,0,0,9,0,0
