Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Imogene,1910,54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,0
Imogene,1911,89,0,0,0,0,0,0,0,0,0,0,9,0,0,8,9,5,0,14,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Imogene,1912,124,0,0,0,9,0,0,0,0,0,0,5,0,0,15,0,0,0,6,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,6,0,10,10,0,9,0,0,0,5,27,0,0,0,0,5,0,0
Imogene,1913,186,6,0,0,16,0,0,0,0,0,0,7,0,0,18,11,10,5,10,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,13,16,0,11,0,0,0,11,24,0,0,0,0,8,0,0
Imogene,1914,299,7,0,0,17,5,5,0,0,0,0,13,0,0,33,20,10,9,17,0,0,0,0,0,0,6,16,0,7,0,0,0,0,10,5,0,12,21,0,10,0,0,0,19,51,0,0,0,0,6,0,0
Imogene,1915,412,25,0,0,32,0,0,0,0,0,0,16,0,0,29,21,9,12,29,0,0,5,0,0,5,6,28,0,8,0,0,0,0,8,0,0,26,27,0,10,0,0,0,22,70,0,0,8,0,10,6,0
Imogene,1916,379,13,0,0,32,0,0,0,0,0,0,12,0,0,33,21,11,13,24,0,0,0,0,8,0,5,39,0,6,0,0,0,0,5,0,0,15,32,0,17,0,0,0,23,48,0,0,10,0,12,0,0
Imogene,1917,527,20,0,0,44,0,0,0,0,0,0,16,0,0,50,39,9,16,37,0,0,0,0,14,0,6,42,0,11,0,0,0,0,7,5,0,17,43,0,10,0,0,0,32,86,0,0,0,0,16,7,0
Imogene,1918,541,9,0,0,47,7,5,0,0,0,0,21,0,0,41,41,17,20,36,0,0,0,0,11,0,13,43,0,10,0,0,0,0,0,0,0,17,49,5,15,0,0,0,26,79,0,0,6,5,18,0,0
Imogene,1919,657,35,0,0,61,0,0,0,0,0,7,26,0,0,51,40,14,17,52,0,0,0,0,11,0,16,41,0,6,0,0,0,0,9,9,0,27,55,0,12,0,0,0,40,91,0,0,6,6,17,8,0
