Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Olen,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olen,1911,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olen,1912,36,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Olen,1913,73,8,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Olen,1914,85,12,0,0,12,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Olen,1915,123,10,0,0,14,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,13,0,7,15,0,0,0,0,0,5,27,0,0,0,0,0,0,0
Olen,1916,137,15,0,0,27,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,31,0,0,0,0,0,0,0
Olen,1917,115,10,0,0,15,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,5,0,9,16,0,0,0,0,0,7,16,0,0,6,0,0,0,0
Olen,1918,122,8,0,0,14,0,0,0,0,0,0,0,0,0,5,5,0,0,6,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,7,27,0,0,8,0,8,0,0
Olen,1919,139,21,0,0,24,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,26,0,0,0,0,7,0,0
