Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Raymond,1910,1728,27,0,7,23,55,17,22,0,16,14,30,0,7,116,39,54,33,55,23,18,19,42,58,48,11,79,8,21,0,9,41,8,122,59,9,109,37,7,152,13,22,13,51,78,7,7,58,23,24,31,6
Raymond,1911,2071,28,0,6,30,56,14,46,6,13,11,39,0,0,135,58,51,37,58,16,21,28,129,53,44,10,85,12,22,0,14,62,0,184,56,17,113,50,16,167,32,16,10,35,78,14,22,65,13,38,61,0
Raymond,1912,4364,55,0,10,60,111,22,84,7,21,27,68,8,20,376,136,137,94,104,33,42,57,189,120,132,18,179,17,89,0,26,121,13,377,92,39,274,60,23,384,48,30,33,83,161,15,29,99,38,46,157,0
Raymond,1913,5303,53,0,12,81,130,37,88,8,16,41,78,10,16,456,180,173,116,132,43,50,58,213,146,183,25,238,17,99,0,30,126,11,443,103,63,323,118,34,400,40,50,48,96,214,24,26,106,42,70,237,0
Raymond,1914,6816,82,0,21,88,154,45,108,11,35,52,94,12,24,581,215,218,125,179,63,58,93,293,224,193,43,260,34,119,0,41,185,19,605,109,58,401,144,58,541,80,38,64,114,265,19,44,128,64,90,312,13
Raymond,1915,8979,98,0,24,118,179,76,154,11,32,51,123,26,47,764,308,280,162,248,69,73,109,369,318,307,27,350,45,152,9,55,231,24,710,176,104,548,213,67,742,88,47,72,140,340,39,47,184,66,109,433,15
Raymond,1916,9573,108,0,21,133,215,95,173,8,42,59,101,29,37,831,260,262,188,277,82,75,92,389,384,351,41,382,60,167,6,61,255,24,751,166,111,532,187,60,817,107,71,84,142,363,30,47,206,84,124,469,14
Raymond,1917,9977,97,0,25,126,214,90,170,15,47,50,94,29,40,858,309,318,208,263,74,84,120,413,452,382,33,335,64,185,6,67,254,32,849,176,137,575,211,43,892,115,62,82,150,332,47,51,161,75,124,428,13
Raymond,1918,11611,125,0,35,180,286,102,198,22,35,59,148,25,42,980,313,386,237,288,108,90,141,444,497,392,54,403,86,167,8,78,309,35,945,192,135,677,266,71,1002,137,92,103,195,411,47,59,229,117,154,492,14
Raymond,1919,11385,143,0,31,190,321,93,184,20,50,58,135,28,60,872,339,315,210,299,104,115,146,438,445,366,70,424,82,198,8,65,289,46,955,197,113,622,262,70,973,145,86,130,207,421,42,74,217,105,148,456,18
Raymond,1920,12199,139,0,31,170,327,134,225,22,50,64,167,22,36,908,363,370,282,316,120,117,147,509,499,418,66,411,69,179,0,83,329,35,1021,225,129,676,302,85,945,162,91,130,212,465,39,68,228,90,162,531,30
Raymond,1921,12645,137,0,34,160,383,127,220,21,53,81,165,35,34,979,326,366,211,339,151,132,163,539,552,403,56,416,81,221,10,93,374,48,1083,185,121,711,318,65,1065,166,83,96,198,499,35,66,231,102,167,526,18
