Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Selma,1910,253,0,0,0,11,0,0,0,0,0,0,0,0,0,12,5,8,0,0,0,0,5,6,8,14,9,5,0,6,0,0,5,0,35,19,15,13,5,0,13,0,0,7,0,22,0,0,6,0,0,24,0
Selma,1911,286,0,0,0,10,5,0,6,0,0,0,5,0,0,12,6,6,0,0,5,0,5,13,13,22,7,10,0,0,0,0,16,0,53,11,6,10,5,0,14,0,0,7,8,17,0,0,0,0,5,9,0
Selma,1912,353,0,0,0,7,0,0,0,0,0,0,8,0,0,16,8,8,0,0,8,0,5,10,12,33,6,10,0,6,0,0,12,0,55,13,15,13,0,0,18,0,0,13,10,24,0,0,8,6,5,24,0
Selma,1913,427,6,0,0,10,5,0,6,0,0,0,14,0,0,27,13,19,7,0,10,0,10,15,8,21,12,10,5,5,0,0,10,0,89,21,9,10,6,0,32,0,5,0,13,23,0,0,0,0,0,6,0
Selma,1914,571,20,0,0,11,9,6,6,0,0,0,10,0,0,26,9,14,8,8,11,0,6,15,13,32,6,11,0,7,0,0,14,0,123,27,14,33,8,0,36,0,6,6,13,29,6,0,8,0,0,20,0
Selma,1915,705,21,0,0,15,17,5,7,0,0,0,20,0,0,36,16,13,8,7,8,0,19,26,15,35,9,24,0,16,0,0,29,0,125,27,22,22,8,0,47,0,5,10,11,35,0,0,12,0,0,35,0
Selma,1916,697,14,0,0,16,15,0,8,0,0,0,16,0,0,43,13,17,15,6,13,0,17,28,16,19,0,19,5,8,0,0,25,0,133,24,23,30,11,0,51,0,7,10,10,40,0,0,16,9,0,20,0
Selma,1917,761,10,0,0,15,8,0,12,0,0,5,6,0,0,33,12,14,16,0,8,0,11,37,14,29,10,24,6,16,0,0,36,0,181,22,19,25,14,0,59,6,7,10,18,23,0,0,15,5,0,35,0
Selma,1918,771,11,0,5,19,9,0,9,0,7,0,10,0,0,37,10,15,12,17,11,0,11,28,18,44,9,23,0,11,0,0,40,0,165,27,25,23,17,0,53,0,6,10,19,36,0,0,6,5,0,23,0
Selma,1919,641,10,0,0,11,10,5,11,0,0,0,6,0,0,28,0,19,0,10,11,0,20,19,16,31,7,22,6,5,0,0,34,0,161,28,14,19,6,0,56,0,6,5,8,29,0,0,7,0,0,21,0
Selma,1920,746,13,0,0,8,15,0,14,0,0,5,16,0,0,29,5,11,8,6,10,0,13,34,16,30,6,13,0,5,0,0,35,0,204,30,16,17,9,0,70,0,7,5,18,35,0,0,13,8,0,22,0
Selma,1921,667,8,0,0,8,10,0,9,0,0,0,8,0,0,22,9,12,6,7,15,0,16,30,13,16,0,17,0,9,0,0,31,0,205,22,12,21,5,5,60,5,9,6,13,26,0,0,17,6,0,9,0
Selma,1922,674,10,0,0,15,10,6,8,0,0,5,7,0,6,29,6,8,0,10,15,0,13,29,14,16,0,18,0,9,0,0,18,0,212,19,13,25,7,0,51,0,13,6,13,27,0,0,5,5,7,19,0
Selma,1923,664,13,0,0,10,12,0,6,0,0,5,10,0,0,19,9,8,0,0,10,0,16,28,16,16,7,11,6,0,0,0,29,0,244,30,12,22,0,0,43,5,7,11,11,25,5,0,9,0,0,9,0
Selma,1924,697,14,0,0,8,15,0,13,0,0,8,7,0,0,24,5,12,0,6,14,0,9,33,16,14,8,10,0,0,0,0,35,0,241,26,7,17,8,0,70,0,7,6,18,23,0,0,10,0,0,13,0
Selma,1925,633,10,0,0,17,5,0,7,0,0,7,5,0,0,17,14,5,6,7,8,0,11,30,15,10,5,10,0,0,0,0,27,0,227,25,11,15,12,0,68,0,6,7,11,19,0,0,6,0,0,10,0
Selma,1926,645,8,0,0,7,9,8,7,0,0,0,11,0,0,21,13,6,5,9,5,0,11,36,10,7,6,6,6,0,0,0,26,0,254,28,9,17,6,0,63,0,0,5,9,16,0,0,9,0,0,12,0
Selma,1927,640,5,0,0,18,16,0,13,0,0,6,10,0,0,18,0,0,0,5,5,0,14,32,9,5,6,16,0,0,0,0,31,0,267,30,9,17,5,0,55,0,0,0,7,19,0,0,11,0,5,6,0
Selma,1928,560,8,0,0,6,9,0,19,0,0,5,9,0,0,21,7,0,5,0,12,0,6,27,9,5,6,8,0,0,0,0,34,0,215,18,0,20,8,0,57,6,0,0,6,13,0,0,5,0,6,10,0
