Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Silas,1910,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silas,1911,32,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Silas,1912,66,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,7,0,0,5,0,0,0,5,0,0,10,0,0,13,0,0,0,0
Silas,1913,96,0,0,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,9,0,6,12,0,0,8,0,0,0,0
Silas,1914,139,11,0,0,7,0,0,0,0,0,6,10,0,0,0,0,6,0,13,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,5,0,11,0,5,0,9,13,0,0,20,0,5,0,0
Silas,1915,155,12,0,0,11,0,0,0,0,0,5,17,0,0,0,0,0,0,8,0,0,0,0,0,0,9,8,0,0,0,0,0,0,5,13,0,0,8,0,7,0,8,0,11,13,0,0,15,0,5,0,0
Silas,1916,147,0,0,0,7,0,0,0,0,0,0,19,0,0,6,7,0,0,10,8,0,0,0,8,0,7,7,0,0,0,0,0,0,0,8,0,5,6,0,0,0,14,0,14,11,0,0,10,0,0,0,0
Silas,1917,165,16,0,0,11,0,0,0,0,0,0,15,0,0,5,0,0,0,9,6,0,0,0,5,6,8,5,0,0,0,0,0,0,0,21,0,0,9,0,6,0,12,0,13,0,0,0,12,0,6,0,0
Silas,1918,196,25,0,0,11,0,0,0,0,0,5,18,0,0,6,0,0,0,19,8,0,0,0,0,6,5,9,0,0,0,0,0,0,6,17,0,0,8,0,0,0,18,0,12,15,0,0,8,0,0,0,0
Silas,1919,181,11,0,0,11,0,0,0,0,0,0,15,0,0,6,0,0,0,13,8,0,0,0,0,5,14,7,0,0,0,0,0,0,0,8,0,0,12,0,6,0,9,0,12,22,0,0,17,0,5,0,0
Silas,1920,183,12,0,0,8,0,0,0,0,0,0,16,0,0,8,0,0,0,15,7,0,6,0,0,0,10,8,0,0,0,0,0,5,6,20,0,0,0,0,8,0,16,0,18,8,0,0,12,0,0,0,0
Silas,1921,194,15,0,0,8,0,0,0,0,0,5,17,0,0,5,0,0,0,15,0,0,0,0,0,0,15,11,0,0,0,0,0,0,5,21,0,7,16,0,5,0,5,0,12,13,0,0,14,0,5,0,0
