Name,Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Tommie,1910,179,33,0,0,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0,5,0,0,0,0,0,39,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,22,27,0,0,0,0,0,0,0
Tommie,1911,192,32,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,6,0,0,0,0,0,36,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,6,0,11,40,0,0,0,0,0,0,0
Tommie,1912,299,48,0,0,18,0,0,0,0,0,5,69,0,0,0,0,0,0,5,5,0,0,0,0,0,31,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,6,0,23,61,0,0,6,0,0,0,0
Tommie,1913,348,56,0,0,17,0,0,0,0,0,0,61,0,0,0,0,0,0,8,13,0,0,0,0,0,56,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,13,0,27,74,0,0,0,0,0,0,0
Tommie,1914,417,64,0,0,26,0,0,0,0,0,6,86,0,0,0,0,0,0,8,7,0,0,0,0,0,61,0,0,0,0,0,0,0,0,14,0,0,16,0,0,0,15,0,37,77,0,0,0,0,0,0,0
Tommie,1915,500,62,0,0,36,0,0,0,0,0,5,102,0,0,0,0,0,0,13,16,0,0,0,0,0,70,0,0,0,0,0,0,0,0,19,0,0,14,0,0,0,18,0,40,105,0,0,0,0,0,0,0
Tommie,1916,555,71,0,0,32,0,0,0,0,0,19,110,0,0,0,0,0,0,18,8,0,0,0,0,0,69,5,0,0,0,0,0,0,0,23,0,0,29,0,0,0,27,0,32,112,0,0,0,0,0,0,0
Tommie,1917,568,65,0,0,26,0,0,0,0,0,12,103,0,0,0,0,0,0,8,21,0,0,0,0,0,83,0,0,0,0,0,0,0,0,24,0,0,30,0,0,0,26,0,46,119,0,0,5,0,0,0,0
Tommie,1918,655,96,0,0,42,0,0,0,0,0,17,119,0,0,0,0,0,0,14,8,0,0,0,0,0,82,0,0,0,0,0,0,0,0,20,0,0,36,0,7,0,27,0,46,141,0,0,0,0,0,0,0
Tommie,1919,692,120,0,0,31,0,0,0,0,0,17,125,0,0,0,0,0,0,23,20,0,0,0,0,0,102,0,0,0,0,0,0,5,0,27,0,5,22,0,0,0,31,0,34,123,0,0,7,0,0,0,0
Tommie,1920,604,76,0,0,27,0,0,0,0,0,12,122,0,0,0,0,0,0,12,7,0,0,0,0,0,96,0,0,0,0,0,0,0,0,25,0,0,31,0,0,0,25,0,42,123,0,0,6,0,0,0,0
Tommie,1921,626,86,0,0,41,0,0,0,0,0,15,114,0,0,5,0,0,0,15,7,0,0,0,0,0,84,0,0,0,0,0,0,0,0,19,0,0,37,0,0,0,20,0,39,137,0,0,7,0,0,0,0
Tommie,1922,671,105,0,0,45,0,0,0,0,0,15,127,0,0,5,0,0,0,15,14,0,0,0,0,0,90,0,0,0,0,0,0,0,0,24,0,0,31,0,0,0,22,0,31,140,0,0,7,0,0,0,0
Tommie,1923,691,90,0,0,42,0,0,0,0,0,12,99,0,0,0,0,0,0,8,11,0,0,0,0,0,85,12,0,0,0,0,0,0,0,39,0,0,32,0,0,0,34,0,58,157,0,0,12,0,0,0,0
Tommie,1924,681,101,0,0,36,0,0,0,0,0,24,113,0,0,0,0,0,5,8,19,0,0,0,0,0,88,7,0,0,0,0,0,0,0,28,0,0,34,0,0,0,20,0,53,139,0,0,6,0,0,0,0
Tommie,1925,763,114,0,5,41,0,0,0,0,0,19,97,0,0,11,0,0,0,10,17,0,0,0,0,0,124,6,0,0,0,0,0,0,0,24,0,0,46,0,0,0,35,0,40,166,0,0,8,0,0,0,0
Tommie,1926,764,92,0,0,44,0,0,0,0,0,20,119,0,0,6,0,0,5,11,28,0,0,0,0,0,119,13,0,0,0,0,0,5,0,24,0,0,41,0,0,0,24,0,48,158,0,0,7,0,0,0,0
Tommie,1927,790,127,0,0,42,0,0,0,0,0,22,106,0,0,0,0,0,0,16,20,0,0,0,0,0,122,7,0,0,0,0,0,0,0,38,0,0,45,0,0,0,22,0,41,176,0,0,6,0,0,0,0
Tommie,1928,741,104,0,0,39,0,0,0,0,0,21,104,0,0,6,0,0,0,16,22,0,0,0,0,0,94,5,0,0,0,0,0,6,0,29,0,0,46,0,0,0,32,0,37,180,0,0,0,0,0,0,0
Tommie,1929,804,110,0,0,44,0,0,0,0,0,22,109,0,0,5,0,0,0,19,29,0,0,0,0,0,91,10,0,0,0,0,0,0,0,35,0,5,52,0,0,0,30,0,56,177,0,0,10,0,0,0,0
Tommie,1930,812,105,0,0,39,5,0,0,0,0,18,95,0,0,6,0,0,0,13,27,0,0,0,0,0,126,0,0,0,0,0,0,0,0,39,0,0,47,0,0,0,22,0,49,211,0,0,5,0,5,0,0
Tommie,1931,712,97,0,0,38,0,0,0,0,0,9,94,0,0,7,0,0,5,20,25,0,0,0,0,0,95,10,0,0,0,0,0,0,0,18,0,0,35,0,0,0,26,0,49,184,0,0,0,0,0,0,0
Tommie,1932,749,102,0,0,43,0,0,0,0,0,27,101,0,0,7,0,0,0,17,29,0,0,0,0,0,104,14,0,0,0,0,0,0,0,32,0,0,36,0,0,0,22,0,42,167,0,0,0,0,6,0,0
Tommie,1933,770,117,0,0,50,5,0,0,0,0,20,101,0,0,5,0,0,5,17,19,0,0,0,0,0,111,8,0,0,0,0,0,5,0,22,0,0,38,0,0,0,34,0,59,154,0,0,0,0,0,0,0
Tommie,1934,750,111,0,0,35,5,0,0,0,0,15,101,0,0,5,0,0,0,17,17,0,0,0,0,0,127,7,0,0,0,0,0,7,0,16,0,7,34,0,0,0,36,0,41,169,0,0,0,0,0,0,0
Tommie,1935,806,104,0,0,54,0,0,0,0,0,23,112,0,0,7,7,0,0,9,26,0,0,0,0,0,118,13,0,0,0,0,0,0,0,39,0,0,46,0,0,0,22,0,60,166,0,0,0,0,0,0,0
Tommie,1936,759,93,0,0,33,5,0,0,0,0,30,113,0,0,7,0,0,0,12,20,0,0,0,0,0,98,12,0,0,0,0,0,11,0,38,0,7,36,0,0,0,30,0,44,164,0,0,6,0,0,0,0
Tommie,1937,849,122,0,0,47,13,0,0,0,0,20,90,0,0,0,5,0,0,24,33,0,0,0,0,0,137,13,0,0,0,0,0,5,0,34,0,0,38,0,0,0,43,0,54,171,0,0,0,0,0,0,0
Tommie,1938,774,89,0,5,41,5,0,0,0,0,25,95,0,0,6,7,0,7,19,29,0,0,0,0,0,119,6,0,0,0,0,0,5,0,32,0,5,45,0,0,0,33,0,39,162,0,0,0,0,0,0,0
Tommie,1939,728,109,0,0,51,7,0,0,0,0,25,93,0,0,0,6,0,0,15,26,0,0,0,0,0,116,12,0,0,0,0,0,0,0,32,0,0,34,0,0,0,23,0,42,137,0,0,0,0,0,0,0
Tommie,1940,791,77,0,0,46,11,0,0,0,0,27,107,0,0,10,5,0,0,23,28,0,0,0,5,0,128,13,0,0,0,0,0,6,0,29,0,6,39,0,0,0,38,0,47,131,0,0,8,0,7,0,0
Tommie,1941,806,95,0,0,49,0,0,0,0,0,27,94,0,0,7,5,0,0,31,29,0,0,0,6,0,129,16,0,0,0,0,0,0,0,40,0,8,38,0,0,0,43,0,44,133,0,0,7,0,5,0,0
Tommie,1942,914,118,0,5,53,22,0,0,0,0,38,93,0,0,13,0,0,0,22,34,0,0,0,0,0,165,10,0,0,0,0,0,0,0,46,0,0,53,0,0,0,34,0,49,146,0,0,13,0,0,0,0
Tommie,1943,883,122,0,0,53,23,0,0,0,0,27,121,0,0,9,6,0,0,17,31,0,0,0,5,0,137,10,0,0,0,0,0,0,0,35,0,6,40,0,0,0,38,0,42,154,0,0,7,0,0,0,0
Tommie,1944,858,102,0,0,51,18,0,0,0,0,22,101,0,0,10,8,0,0,21,38,0,0,0,5,0,130,12,0,0,0,0,0,0,0,51,0,5,31,0,0,0,37,0,53,152,0,0,11,0,0,0,0
Tommie,1945,847,108,0,0,49,27,0,0,0,0,22,85,0,0,11,0,0,8,22,31,0,0,0,16,0,143,22,0,0,0,0,0,0,0,29,0,5,30,0,0,0,32,0,63,131,0,0,13,0,0,0,0
Tommie,1946,823,93,0,0,43,28,0,0,0,0,40,87,0,0,16,6,0,0,14,29,0,0,0,10,0,145,10,0,0,0,0,0,5,0,27,0,15,38,0,0,0,36,0,50,114,0,0,17,0,0,0,0
Tommie,1947,925,102,0,6,41,29,0,0,0,0,29,94,0,0,21,0,0,8,20,49,0,0,0,9,0,136,16,0,0,0,0,0,0,0,51,0,12,27,0,5,0,41,0,55,155,0,0,19,0,0,0,0
Tommie,1948,870,111,0,0,40,31,0,0,0,0,29,81,0,0,16,8,0,9,22,30,0,0,0,10,0,135,19,0,0,0,0,0,11,6,41,0,15,24,0,0,0,39,0,54,125,0,0,14,0,0,0,0
Tommie,1949,801,107,0,0,31,19,0,0,0,0,35,76,0,0,28,8,0,5,17,42,0,0,0,8,0,144,21,0,0,0,0,0,0,8,31,0,10,28,0,0,0,28,0,45,99,0,0,6,0,5,0,0
Tommie,1950,805,94,0,0,36,33,0,0,0,0,30,69,0,0,20,5,0,6,17,29,0,0,0,17,0,142,8,0,0,0,0,0,6,7,48,0,12,15,0,0,0,38,0,47,109,0,0,11,0,6,0,0
Tommie,1951,799,93,0,0,31,25,0,0,0,0,41,82,0,0,26,5,0,0,20,52,0,0,0,13,0,131,11,0,0,0,0,0,6,0,33,0,11,18,0,0,0,26,0,37,132,0,0,6,0,0,0,0
Tommie,1952,763,81,0,0,39,34,0,0,0,0,46,60,0,0,27,5,0,0,11,35,0,0,0,8,0,133,13,0,0,0,0,5,5,0,33,0,15,19,0,0,0,35,0,47,97,0,0,15,0,0,0,0
Tommie,1953,695,74,0,0,38,22,0,0,0,0,33,66,0,0,36,8,0,5,12,22,0,0,0,19,0,118,18,0,0,0,0,0,0,6,38,0,15,11,0,0,0,32,0,26,88,0,0,8,0,0,0,0
Tommie,1954,654,68,0,0,35,30,0,0,0,0,20,47,0,0,32,11,0,0,14,26,0,0,0,23,0,100,14,0,0,0,0,0,0,0,26,0,19,18,5,8,0,19,0,38,81,0,0,20,0,0,0,0
Tommie,1955,647,61,0,0,28,24,0,0,0,0,40,63,0,0,25,7,0,0,10,33,0,7,0,9,0,98,12,0,0,0,0,0,0,12,26,0,15,15,0,6,0,25,0,40,85,0,0,6,0,0,0,0
Tommie,1956,617,57,0,5,22,30,0,0,0,0,24,62,0,0,25,6,0,0,8,23,0,0,0,17,0,116,14,0,0,0,0,0,0,12,24,0,18,16,0,0,0,28,0,29,66,0,0,10,0,0,5,0
Tommie,1957,591,69,0,0,16,24,0,0,0,0,37,49,0,0,33,13,0,5,8,26,0,0,0,17,0,82,23,0,0,0,0,0,0,8,23,0,17,14,0,0,0,17,0,36,63,0,0,6,0,0,5,0
Tommie,1958,625,53,0,0,26,24,0,0,0,0,40,51,0,0,39,10,0,0,8,28,0,0,0,21,0,103,12,0,0,0,0,0,0,13,34,0,12,13,0,8,0,18,0,17,83,0,0,7,0,0,5,0
Tommie,1959,520,49,0,0,28,31,0,0,0,0,29,35,0,0,24,5,0,5,11,12,0,0,0,14,0,72,17,0,0,0,0,0,0,9,19,0,9,14,0,0,0,22,0,39,62,0,0,7,0,0,7,0
Tommie,1960,499,44,0,5,25,35,0,0,0,0,18,43,0,0,33,0,0,0,9,20,0,0,0,16,0,70,8,0,0,0,0,0,0,10,18,0,16,14,0,8,0,22,0,26,59,0,0,0,0,0,0,0
Tommie,1961,473,39,0,0,19,24,0,0,0,0,27,27,0,0,23,5,0,0,13,30,0,0,0,9,0,79,10,0,0,0,0,0,0,8,19,0,9,5,0,0,0,17,0,33,71,0,0,6,0,0,0,0
Tommie,1962,400,50,0,0,15,20,0,0,0,0,23,34,0,0,27,5,0,0,8,10,0,0,0,16,0,68,12,0,0,0,0,0,0,9,9,0,9,0,0,0,0,13,0,16,49,0,0,7,0,0,0,0
Tommie,1963,439,38,0,0,15,27,0,0,0,0,24,36,0,0,22,10,0,0,8,15,0,0,0,0,0,82,20,0,0,0,0,0,0,6,18,0,13,0,0,0,0,15,0,26,64,0,0,0,0,0,0,0
Tommie,1964,428,19,0,0,21,32,0,0,0,0,28,43,0,0,20,10,0,0,0,20,0,5,0,5,0,60,19,0,0,0,0,5,0,10,18,0,7,11,0,0,0,15,0,10,62,0,0,8,0,0,0,0
Tommie,1965,366,35,0,0,16,26,0,0,0,0,26,31,0,0,26,0,0,0,8,14,0,0,0,14,0,51,12,0,0,0,0,0,0,14,15,0,15,7,0,0,0,13,0,7,36,0,0,0,0,0,0,0
