state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
MS,1910,16902,6439,10463,557
MS,1911,14831,5652,9179,520
MS,1912,21058,8897,12161,661
MS,1913,22603,10097,12506,700
MS,1914,27021,12631,14390,760
MS,1915,31678,15087,16591,832
MS,1916,34215,16209,18006,880
MS,1917,33608,16010,17598,872
MS,1918,37090,17799,19291,905
MS,1919,41476,19598,21878,967
MS,1920,40677,19271,21406,946
MS,1921,40139,18625,21514,942
MS,1922,41864,19268,22596,954
MS,1923,41153,18754,22399,954
MS,1924,41279,18474,22805,936
MS,1925,42239,19089,23150,945
MS,1926,43995,20275,23720,976
MS,1927,44285,20640,23645,953
MS,1928,42366,19945,22421,951
MS,1929,40349,18861,21488,898
MS,1930,42389,20308,22081,937
MS,1931,38214,18125,20089,881
MS,1932,41796,19777,22019,905
MS,1933,39041,18731,20310,895
MS,1934,40924,19585,21339,901
MS,1935,42440,20377,22063,913
MS,1936,41061,19782,21279,892
MS,1937,42836,20695,22141,903
MS,1938,43991,21442,22549,898
MS,1939,43141,21102,22039,883
MS,1940,44418,21808,22610,899
MS,1941,45183,22104,23079,878
MS,1942,48050,23710,24340,936
MS,1943,49882,24812,25070,937
MS,1944,47754,23747,24007,904
MS,1945,46125,22826,23299,882
MS,1946,53316,26760,26556,949
MS,1947,58138,29143,28995,1004
MS,1948,56970,28386,28584,976
MS,1949,58197,29038,29159,1003
MS,1950,57442,29093,28349,973
MS,1951,57808,29201,28607,1004
MS,1952,57043,28852,28191,992
MS,1953,56745,28893,27852,998
MS,1954,57519,29322,28197,1007
MS,1955,56449,28936,27513,1003
MS,1956,55283,28492,26791,1007
MS,1957,54254,28183,26071,990
MS,1958,52311,27024,25287,1015
MS,1959,53645,27669,25976,1031
MS,1960,52248,26886,25362,1032
MS,1961,51761,26977,24784,1029
MS,1962,51581,26843,24738,1028
MS,1963,49478,25837,23641,1017
MS,1964,47862,25173,22689,1002
MS,1965,43276,22481,20795,973
MS,1966,40863,21356,19507,965
MS,1967,39295,20610,18685,942
MS,1968,38192,20151,18041,939
MS,1969,39522,20918,18604,965
MS,1970,40020,21228,18792,994
MS,1971,39973,21322,18651,1036
MS,1972,37253,19920,17333,1000
MS,1973,35379,18975,16404,967
MS,1974,34734,18662,16072,968
MS,1975,33817,18268,15549,1000
MS,1976,33254,18066,15188,977
MS,1977,34986,19176,15810,1024
MS,1978,33794,18455,15339,1017
MS,1979,34526,18938,15588,1024
MS,1980,36425,20004,16421,1041
MS,1981,35078,19243,15835,1038
MS,1982,35235,19249,15986,1039
MS,1983,33382,18139,15243,969
MS,1984,32887,17845,15042,981
MS,1985,32104,17367,14737,960
MS,1986,30819,17070,13749,970
MS,1987,29668,16369,13299,953
MS,1988,29859,16390,13469,977
MS,1989,30861,17164,13697,989
MS,1990,30920,17144,13776,1020
MS,1991,30206,16747,13459,1029
MS,1992,29269,16387,12882,1028
MS,1993,28244,15840,12404,1006
MS,1994,27836,15655,12181,1004
MS,1995,27146,15056,12090,1006
MS,1996,26746,15142,11604,1034
MS,1997,26474,14958,11516,1025
MS,1998,27517,15336,12181,1118
MS,1999,27012,15206,11806,1087
MS,2000,27576,15551,12025,1125
MS,2001,26274,14676,11598,1140
MS,2002,25890,14577,11313,1118
MS,2003,26505,14972,11533,1164
MS,2004,26646,14929,11717,1167
MS,2005,26301,14739,11562,1191
MS,2006,28520,16029,12491,1284
MS,2007,29162,16437,12725,1339
MS,2008,28175,15708,12467,1312
MS,2009,26619,14883,11736,1281
MS,2010,24768,13789,10979,1219
MS,2011,24965,13862,11103,1214
MS,2012,24018,13416,10602,1188
MS,2013,24336,13453,10883,1209
MS,2014,24948,13722,11226,1212
MS,2015,24998,13821,11177,1235
MS,2016,24432,13381,11051,1234
MS,2017,24023,13221,10802,1244
