state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
MT,1910,1352,432,920,108
MT,1911,1638,537,1101,121
MT,1912,2873,1291,1582,171
MT,1913,4041,1903,2138,231
MT,1914,5546,2735,2811,274
MT,1915,8397,4063,4334,338
MT,1916,9861,4741,5120,393
MT,1917,11342,5401,5941,411
MT,1918,12017,5595,6422,423
MT,1919,10264,4850,5414,378
MT,1920,9839,4796,5043,365
MT,1921,9593,4623,4970,364
MT,1922,8971,4439,4532,349
MT,1923,8410,4226,4184,339
MT,1924,8113,4015,4098,332
MT,1925,7857,4005,3852,319
MT,1926,7572,3795,3777,319
MT,1927,7543,3871,3672,319
MT,1928,7841,4047,3794,334
MT,1929,7784,3992,3792,329
MT,1930,7621,3890,3731,320
MT,1931,7225,3802,3423,318
MT,1932,6937,3532,3405,314
MT,1933,6799,3474,3325,310
MT,1934,7458,3898,3560,331
MT,1935,7608,3900,3708,309
MT,1936,7957,4060,3897,328
MT,1937,8009,4173,3836,345
MT,1938,8268,4365,3903,354
MT,1939,8651,4506,4145,363
MT,1940,8998,4716,4282,345
MT,1941,9110,4767,4343,360
MT,1942,9207,4865,4342,356
MT,1943,8865,4598,4267,348
MT,1944,8461,4491,3970,337
MT,1945,8285,4441,3844,334
MT,1946,10435,5582,4853,381
MT,1947,12201,6476,5725,410
MT,1948,12099,6265,5834,415
MT,1949,12418,6336,6082,414
MT,1950,12736,6825,5911,411
MT,1951,12991,6888,6103,434
MT,1952,13564,7156,6408,455
MT,1953,13621,7272,6349,450
MT,1954,14335,7490,6845,479
MT,1955,14581,7734,6847,491
MT,1956,14744,7881,6863,501
MT,1957,15212,8007,7205,523
MT,1958,14242,7670,6572,516
MT,1959,14582,7790,6792,536
MT,1960,14289,7606,6683,525
MT,1961,14167,7690,6477,515
MT,1962,13616,7402,6214,522
MT,1963,12669,6938,5731,508
MT,1964,11916,6541,5375,496
MT,1965,10732,5868,4864,482
MT,1966,9841,5309,4532,445
MT,1967,9425,5129,4296,442
MT,1968,9183,4989,4194,423
MT,1969,8983,4962,4021,440
MT,1970,9637,5298,4339,450
MT,1971,9324,5151,4173,442
MT,1972,8544,4667,3877,414
MT,1973,8446,4678,3768,405
MT,1974,9151,5094,4057,413
MT,1975,8830,4997,3833,416
MT,1976,9283,5108,4175,436
MT,1977,9860,5531,4329,442
MT,1978,9881,5490,4391,425
MT,1979,10499,5819,4680,454
MT,1980,10486,5798,4688,442
MT,1981,10567,5820,4747,447
MT,1982,10812,5960,4852,452
MT,1983,10478,5775,4703,442
MT,1984,10492,5813,4679,439
MT,1985,9913,5538,4375,448
MT,1986,9106,5219,3887,412
MT,1987,8751,4925,3826,411
MT,1988,8142,4616,3526,402
MT,1989,8191,4604,3587,403
MT,1990,8011,4691,3320,417
MT,1991,7881,4415,3466,401
MT,1992,7752,4399,3353,406
MT,1993,7667,4433,3234,409
MT,1994,7403,4266,3137,411
MT,1995,7234,4102,3132,405
MT,1996,7049,4068,2981,407
MT,1997,6954,4019,2935,417
MT,1998,6864,4001,2863,420
MT,1999,6766,3995,2771,414
MT,2000,6909,3991,2918,450
MT,2001,6606,3818,2788,429
MT,2002,6636,3891,2745,436
MT,2003,6903,4007,2896,451
MT,2004,6816,4033,2783,464
MT,2005,6751,3928,2823,464
MT,2006,7335,4339,2996,496
MT,2007,6990,4138,2852,492
MT,2008,7250,4211,3039,529
MT,2009,6946,3998,2948,524
MT,2010,6774,3890,2884,513
MT,2011,6624,3803,2821,503
MT,2012,6627,3895,2732,496
MT,2013,6831,4027,2804,520
MT,2014,6945,3967,2978,544
MT,2015,6992,4011,2981,542
MT,2016,6717,3917,2800,531
MT,2017,6323,3588,2735,502
